Index,Timestamp_US,RSSI,Smoothed_RSSI
0,36612584,-47,-47
1,36612684,-47,-47
2,36612784,-47,-47
3,36612884,-47,-47
4,36612984,-47,-47
5,36613084,-47,-47
6,36613184,-47,-47
7,36613284,-47,-47
8,36613384,-47,-47
9,36613484,-47,-47
10,36613584,-47,-47
11,36613684,-47,-47
12,36613784,-47,-47
13,36613884,-47,-47
14,36613984,-47,-47
15,36614084,-47,-47
16,36614184,-47,-47
17,36614284,-47,-47
18,36614384,-47,-47
19,36614484,-47,-47
20,36614584,-47,-47
21,36614684,-47,-47
22,36614784,-47,-47
23,36614884,-47,-47
24,36614984,-47,-47
25,36615084,-47,-47
26,36615184,-47,-47
27,36615284,-47,-47
28,36615384,-47,-47
29,36615484,-47,-47
30,36615584,-47,-47
31,36615684,-47,-47
32,36615784,-47,-47
33,36615884,-47,-47
34,36615984,-47,-47
35,36616084,-47,-47
36,36616184,-47,-47
37,36616284,-47,-47
38,36616384,-47,-47
39,36616484,-47,-47
40,36616584,-47,-47
41,36616684,-47,-47
42,36616784,-47,-47
43,36616884,-47,-47
44,36616984,-47,-47
45,36617084,-47,-47
46,36617184,-47,-47
47,36617284,-47,-47
48,36617384,-47,-47
49,36617484,-47,-47
50,36617584,-47,-47
51,36617684,-47,-47
52,36617784,-47,-47
53,36617884,-47,-47
54,36617984,-47,-47
55,36618084,-84,-48
56,36618184,-47,-48
57,36618284,-47,-48
58,36618384,-47,-48
59,36618484,-47,-48
60,36618584,-47,-48
61,36618684,-47,-48
62,36618784,-47,-48
63,36618884,-47,-48
64,36618984,-80,-50
65,36619084,-80,-52
66,36619184,-80,-53
67,36619284,-80,-55
68,36619384,-80,-57
69,36619484,-80,-58
70,36619584,-80,-60
71,36619684,-80,-62
72,36619784,-80,-63
73,36619884,-80,-65
74,36619984,-80,-67
75,36620084,-80,-66
76,36620184,-80,-68
77,36620284,-80,-70
78,36620384,-80,-71
79,36620484,-80,-73
80,36620584,-80,-75
81,36620684,-80,-76
82,36620784,-46,-76
83,36620884,-46,-76
84,36620984,-46,-74
85,36621084,-46,-73
86,36621184,-46,-71
87,36621284,-46,-69
88,36621384,-46,-68
89,36621484,-46,-66
90,36621584,-46,-64
91,36621684,-46,-63
92,36621784,-46,-61
93,36621884,-46,-59
94,36621984,-46,-57
95,36622084,-46,-56
96,36622184,-46,-54
97,36622284,-46,-52
98,36622384,-46,-51
99,36622484,-46,-49
100,36622584,-46,-47
101,36622684,-46,-46
102,36622784,-46,-46
103,36622884,-46,-46
104,36622984,-46,-46
105,36623084,-46,-46
106,36623184,-46,-46
107,36623284,-46,-46
108,36623384,-46,-46
109,36623484,-46,-46
110,36623584,-46,-46
111,36623684,-46,-46
112,36623784,-46,-46
113,36623884,-46,-46
114,36623984,-46,-46
115,36624084,-47,-46
116,36624184,-47,-46
117,36624284,-47,-46
118,36624384,-47,-46
119,36624484,-47,-46
120,36624584,-47,-46
121,36624684,-47,-46
122,36624784,-47,-46
123,36624884,-47,-46
124,36624984,-47,-46
125,36625084,-47,-46
126,36625184,-47,-46
127,36625284,-47,-46
128,36625384,-47,-46
129,36625484,-47,-46
130,36625584,-47,-46
131,36625684,-47,-46
132,36625784,-46,-46
133,36625884,-46,-46
134,36625984,-46,-46
135,36626084,-46,-46
136,36626184,-46,-46
137,36626284,-46,-46
138,36626384,-46,-46
139,36626484,-46,-46
140,36626584,-47,-46
141,36626684,-47,-46
142,36626784,-47,-46
143,36626884,-47,-46
144,36626984,-47,-46
145,36627084,-47,-46
146,36627184,-47,-46
147,36627284,-47,-46
148,36627384,-47,-46
149,36627484,-47,-46
150,36627584,-47,-46
151,36627684,-47,-46
152,36627784,-47,-46
153,36627884,-47,-46
154,36627984,-47,-46
155,36628084,-80,-48
156,36628184,-80,-50
157,36628284,-80,-51
158,36628384,-80,-53
159,36628484,-80,-55
160,36628584,-80,-56
161,36628684,-80,-58
162,36628784,-80,-60
163,36628884,-80,-61
164,36628984,-80,-63
165,36629084,-80,-65
166,36629184,-80,-66
167,36629284,-80,-68
168,36629384,-46,-68
169,36629484,-46,-68
170,36629584,-46,-68
171,36629684,-46,-68
172,36629784,-46,-68
173,36629884,-46,-68
174,36629984,-46,-68
175,36630084,-46,-66
176,36630184,-46,-64
177,36630284,-46,-63
178,36630384,-46,-61
179,36630484,-46,-59
180,36630584,-46,-57
181,36630684,-46,-56
182,36630784,-46,-54
183,36630884,-46,-52
184,36630984,-46,-51
185,36631084,-46,-49
186,36631184,-46,-47
187,36631284,-46,-46
188,36631384,-46,-46
189,36631484,-46,-46
190,36631584,-46,-46
191,36631684,-46,-46
192,36631784,-46,-46
193,36631884,-46,-46
194,36631984,-46,-46
195,36632084,-46,-46
196,36632184,-46,-46
197,36632284,-46,-46
198,36632384,-46,-46
199,36632484,-46,-46
200,36632584,-46,-46
201,36632684,-46,-46
202,36632784,-46,-46
203,36632884,-46,-46
204,36632984,-46,-46
205,36633084,-46,-46
206,36633184,-46,-46
207,36633284,-46,-46
208,36633384,-46,-46
209,36633484,-46,-46
210,36633584,-46,-46
211,36633684,-46,-46
212,36633784,-46,-46
213,36633884,-46,-46
214,36633984,-47,-46
215,36634084,-46,-46
216,36634184,-47,-46
217,36634284,-47,-46
218,36634384,-47,-46
219,36634484,-47,-46
220,36634584,-47,-46
221,36634684,-47,-46
222,36634784,-47,-46
223,36634884,-47,-46
224,36634984,-47,-46
225,36635084,-47,-46
226,36635184,-47,-46
227,36635284,-47,-46
228,36635384,-47,-46
229,36635484,-47,-46
230,36635584,-47,-46
231,36635684,-47,-46
232,36635784,-47,-46
233,36635884,-47,-46
234,36635984,-47,-46
235,36636084,-47,-47
236,36636184,-47,-47
237,36636284,-47,-47
238,36636384,-47,-47
239,36636484,-47,-47
240,36636584,-47,-47
241,36636684,-47,-47
242,36636784,-47,-47
243,36636884,-47,-47
244,36636984,-47,-47
245,36637084,-47,-47
246,36637184,-47,-47
247,36637284,-47,-47
248,36637384,-47,-47
249,36637484,-47,-47
250,36637584,-47,-47
251,36637684,-47,-47
252,36637784,-47,-47
253,36637884,-47,-47
254,36637984,-47,-47
255,36638084,-47,-47
256,36638184,-47,-47
257,36638284,-47,-47
258,36638384,-47,-47
259,36638484,-47,-47
260,36638584,-47,-47
261,36638684,-47,-47
262,36638784,-47,-47
263,36638884,-47,-47
264,36638984,-47,-47
265,36639084,-47,-47
266,36639184,-47,-47
267,36639284,-47,-47
268,36639384,-47,-47
269,36639484,-47,-47
270,36639584,-47,-47
271,36639684,-47,-47
272,36639784,-47,-47
273,36639884,-47,-47
274,36639984,-47,-47
275,36640084,-47,-47
276,36640184,-47,-47
277,36640284,-47,-47
278,36640384,-47,-47
279,36640484,-47,-47
280,36640584,-47,-47
281,36640684,-47,-47
282,36640784,-47,-47
283,36640884,-47,-47
284,36640984,-47,-47
285,36641084,-47,-47
286,36641184,-47,-47
287,36641284,-47,-47
288,36641384,-47,-47
289,36641484,-47,-47
290,36641584,-47,-47
291,36641684,-47,-47
292,36641784,-47,-47
293,36641884,-47,-47
294,36641984,-47,-47
295,36642084,-47,-47
296,36642184,-47,-47
297,36642284,-47,-47
298,36642384,-47,-47
299,36642484,-47,-47
300,36642584,-47,-47
301,36642684,-47,-47
302,36642784,-47,-47
303,36642884,-47,-47
304,36642984,-47,-47
305,36643084,-47,-47
306,36643184,-47,-47
307,36643284,-47,-47
308,36643384,-47,-47
309,36643484,-47,-47
310,36643584,-47,-47
311,36643684,-47,-47
312,36643784,-47,-47
313,36643884,-47,-47
314,36643984,-47,-47
315,36644084,-47,-47
316,36644184,-47,-47
317,36644284,-47,-47
318,36644384,-47,-47
319,36644484,-47,-47
320,36644584,-47,-47
321,36644684,-47,-47
322,36644784,-47,-47
323,36644884,-47,-47
324,36644984,-47,-47
325,36645084,-47,-47
326,36645184,-47,-47
327,36645284,-47,-47
328,36645384,-47,-47
329,36645484,-47,-47
330,36645584,-47,-47
331,36645684,-47,-47
332,36645784,-47,-47
333,36645884,-47,-47
334,36645984,-47,-47
335,36646084,-47,-47
336,36646184,-47,-47
337,36646284,-47,-47
338,36646384,-47,-47
339,36646484,-47,-47
340,36646584,-47,-47
341,36646684,-47,-47
342,36646784,-47,-47
343,36646884,-47,-47
344,36646984,-47,-47
345,36647084,-47,-47
346,36647184,-47,-47
347,36647284,-47,-47
348,36647384,-47,-47
349,36647484,-47,-47
350,36647584,-47,-47
351,36647684,-47,-47
352,36647784,-47,-47
353,36647884,-47,-47
354,36647984,-47,-47
355,36648084,-47,-47
356,36648184,-47,-47
357,36648284,-47,-47
358,36648384,-47,-47
359,36648484,-47,-47
360,36648584,-47,-47
361,36648684,-47,-47
362,36648784,-47,-47
363,36648884,-47,-47
364,36648984,-47,-47
365,36649084,-47,-47
366,36649184,-47,-47
367,36649284,-47,-47
368,36649384,-47,-47
369,36649484,-47,-47
370,36649584,-47,-47
371,36649684,-47,-47
372,36649784,-47,-47
373,36649884,-47,-47
374,36649984,-47,-47
375,36650084,-47,-47
376,36650184,-47,-47
377,36650284,-47,-47
378,36650384,-47,-47
379,36650484,-47,-47
380,36650584,-47,-47
381,36650684,-46,-46
382,36650784,-46,-46
383,36650884,-46,-46
384,36650984,-46,-46
385,36651084,-46,-46
386,36651184,-46,-46
387,36651284,-46,-46
388,36651384,-46,-46
389,36651484,-46,-46
390,36651584,-46,-46
391,36651684,-46,-46
392,36651784,-46,-46
393,36651884,-46,-46
394,36651984,-46,-46
395,36652084,-46,-46
396,36652184,-47,-46
397,36652284,-47,-46
398,36652384,-47,-46
399,36652484,-47,-46
400,36652584,-47,-46
401,36652684,-47,-46
402,36652784,-47,-46
403,36652884,-47,-46
404,36652984,-47,-46
405,36653084,-47,-46
406,36653184,-47,-46
407,36653284,-47,-46
408,36653384,-47,-46
409,36653484,-47,-46
410,36653584,-47,-46
411,36653684,-47,-46
412,36653784,-47,-46
413,36653884,-47,-46
414,36653984,-47,-46
415,36654084,-47,-47
416,36654184,-47,-47
417,36654284,-47,-47
418,36654384,-47,-47
419,36654484,-47,-47
420,36654584,-47,-47
421,36654684,-47,-47
422,36654784,-47,-47
423,36654884,-47,-47
424,36654984,-47,-47
425,36655084,-47,-47
426,36655184,-47,-47
427,36655284,-47,-47
428,36655384,-47,-47
429,36655484,-47,-47
430,36655584,-47,-47
431,36655684,-47,-47
432,36655784,-47,-47
433,36655884,-47,-47
434,36655984,-47,-47
435,36656084,-47,-47
436,36656184,-47,-47
437,36656284,-47,-47
438,36656384,-47,-47
439,36656484,-47,-47
440,36656584,-47,-47
441,36656684,-47,-47
442,36656784,-47,-47
443,36656884,-47,-47
444,36656984,-47,-47
445,36657084,-47,-47
446,36657184,-47,-47
447,36657284,-47,-47
448,36657384,-47,-47
449,36657484,-47,-47
450,36657584,-47,-47
451,36657684,-47,-47
452,36657784,-47,-47
453,36657884,-47,-47
454,36657984,-47,-47
455,36658084,-47,-47
456,36658184,-47,-47
457,36658284,-47,-47
458,36658384,-47,-47
459,36658484,-47,-47
460,36658584,-47,-47
461,36658684,-47,-47
462,36658784,-47,-47
463,36658884,-47,-47
464,36658984,-47,-47
465,36659084,-47,-47
466,36659184,-47,-47
467,36659284,-47,-47
468,36659384,-47,-47
469,36659484,-47,-47
470,36659584,-47,-47
471,36659684,-47,-47
472,36659784,-47,-47
473,36659884,-47,-47
474,36659984,-47,-47
475,36660084,-47,-47
476,36660184,-47,-47
477,36660284,-47,-47
478,36660384,-47,-47
479,36660484,-47,-47
480,36660584,-47,-47
