Index,Timestamp_US,RSSI,Throttle,VectorX,VectorY
0,90140012,-48,200,0.0186617374420166,0.014969110488891602
1,90140141,-48,200,0.0186617374420166,0.014969110488891602
2,90140234,-48,200,0.0186617374420166,0.014969110488891602
3,90140345,-48,200,0.0186617374420166,0.014969110488891602
4,90140438,-48,200,0.0186617374420166,0.014969110488891602
5,90140983,-48,200,0.0186617374420166,0.014969110488891602
6,90141085,-48,200,0.0186617374420166,0.014969110488891602
7,90141196,-47,200,0.0186617374420166,0.014969110488891602
8,90141298,-46,200,0.0186617374420166,0.014969110488891602
9,90141409,-46,200,0.0186617374420166,0.014969110488891602
10,90141520,-45,200,0.0186617374420166,0.014969110488891602
11,90141613,-45,200,0.0186617374420166,0.014969110488891602
12,90141733,-44,200,0.0186617374420166,0.014969110488891602
13,90141817,-44,200,0.0186617374420166,0.014969110488891602
14,90141919,-43,200,0.0186617374420166,0.014969110488891602
15,90142030,-43,200,0.0186617374420166,0.014969110488891602
16,90142114,-42,200,0.0186617374420166,0.014969110488891602
17,90142234,-42,200,0.0186617374420166,0.014969110488891602
18,90142327,-41,200,0.0186617374420166,0.014969110488891602
19,90142438,-41,200,0.0186617374420166,0.014969110488891602
20,90142549,-40,200,0.0186617374420166,0.014969110488891602
21,90142651,-40,200,0.0186617374420166,0.014969110488891602
22,90142753,-40,200,0.0186617374420166,0.014969110488891602
23,90142855,-40,200,0.0186617374420166,0.014969110488891602
24,90142939,-40,200,0.0186617374420166,0.014969110488891602
25,90143032,-40,200,0.0186617374420166,0.014969110488891602
26,90143143,-40,200,0.0186617374420166,0.014969110488891602
27,90143236,-40,200,0.0186617374420166,0.014969110488891602
28,90143329,-40,200,0.0186617374420166,0.014969110488891602
29,90143440,-40,200,0.0186617374420166,0.014969110488891602
30,90143542,-40,200,0.0186617374420166,0.014969110488891602
31,90143680,-40,200,0.0186617374420166,0.014969110488891602
32,90143764,-40,200,0.0186617374420166,0.014969110488891602
33,90143866,-41,200,0.0186617374420166,0.014969110488891602
34,90143959,-41,200,0.0186617374420166,0.014969110488891602
35,90144079,-42,200,0.0186617374420166,0.014969110488891602
36,90144181,-42,200,0.0186617374420166,0.014969110488891602
37,90144337,-42,200,0.0186617374420166,0.014969110488891602
38,90144448,-42,200,0.0186617374420166,0.014969110488891602
39,90144568,-42,200,0.0186617374420166,0.014969110488891602
40,90144661,-42,200,0.0186617374420166,0.014969110488891602
41,90144772,-42,200,0.0186617374420166,0.014969110488891602
42,90144883,-42,200,0.0186617374420166,0.014969110488891602
43,90144976,-42,200,0.0186617374420166,0.014969110488891602
44,90145060,-42,200,0.0186617374420166,0.014969110488891602
45,90145144,-42,200,0.0186617374420166,0.014969110488891602
46,90145255,-42,200,0.0186617374420166,0.014969110488891602
47,90145393,-41,200,0.0186617374420166,0.014969110488891602
48,90145504,-41,200,0.0186617374420166,0.014969110488891602
49,90145597,-41,200,0.0186617374420166,0.014969110488891602
50,90145690,-41,200,0.0186617374420166,0.014969110488891602
51,90145792,-41,200,0.0186617374420166,0.014969110488891602
52,90145894,-40,200,0.0186617374420166,0.014969110488891602
53,90146032,-41,200,0.0186617374420166,0.014969110488891602
54,90146134,-41,200,0.0186617374420166,0.014969110488891602
55,90146227,-41,200,0.0186617374420166,0.014969110488891602
56,90146356,-41,200,0.0186617374420166,0.014969110488891602
57,90146440,-41,200,0.0186617374420166,0.014969110488891602
58,90146560,-42,200,0.0186617374420166,0.014969110488891602
59,90146680,-42,200,0.0186617374420166,0.014969110488891602
60,90147266,-44,200,0.0186617374420166,0.014969110488891602
61,90147350,-44,200,0.0186617374420166,0.014969110488891602
62,90147609,-46,200,0.0186617374420166,0.014969110488891602
63,90147897,-47,200,0.0186617374420166,0.014969110488891602
64,90147999,-48,200,0.0186617374420166,0.014969110488891602
65,90148275,-50,200,0.0186617374420166,0.014969110488891602
66,90148539,-51,200,0.0186617374420166,0.014969110488891602
67,90148966,-52,200,0.0186617374420166,0.014969110488891602
68,90149050,-52,200,0.0186617374420166,0.014969110488891602
69,90149161,-52,200,0.0186617374420166,0.014969110488891602
70,90149245,-52,200,0.0186617374420166,0.014969110488891602
71,90149356,-52,200,0.0186617374420166,0.014969110488891602
72,90149467,-52,200,0.0186617374420166,0.014969110488891602
73,90149578,-52,200,0.0186617374420166,0.014969110488891602
74,90149680,-52,200,0.0186617374420166,0.014969110488891602
75,90151049,-56,200,0.0186617374420166,0.014969110488891602
76,90151142,-56,200,0.0186617374420166,0.014969110488891602
77,90151235,-56,200,0.0186617374420166,0.014969110488891602
78,90151346,-56,200,0.0186617374420166,0.014969110488891602
79,90151457,-56,200,0.0186617374420166,0.014969110488891602
80,90151577,-56,200,0.0186617374420166,0.014969110488891602
81,90151670,-57,200,0.0186617374420166,0.014969110488891602
82,90151781,-58,200,0.0186617374420166,0.014969110488891602
83,90151892,-59,200,0.0186617374420166,0.014969110488891602
84,90151994,-60,200,0.0186617374420166,0.014969110488891602
85,90152105,-61,200,0.0186617374420166,0.014969110488891602
86,90152207,-62,200,0.0186617374420166,0.014969110488891602
87,90152300,-63,200,0.0186617374420166,0.014969110488891602
88,90152393,-62,200,0.0186617374420166,0.014969110488891602
89,90152531,-63,200,0.0186617374420166,0.014969110488891602
90,90152642,-61,200,0.0186617374420166,0.014969110488891602
91,90152753,-59,200,0.0186617374420166,0.014969110488891602
92,90152864,-57,200,0.0186617374420166,0.014969110488891602
93,90152948,-55,200,0.0186617374420166,0.014969110488891602
94,90153041,-53,200,0.0186617374420166,0.014969110488891602
