Index,Timestamp_US,RSSI
0,83878839,-42
1,83878950,-42
2,83879043,-42
3,83879145,-42
4,83879385,-42
5,83879523,-42
6,83879616,-42
7,83879727,-42
8,83879811,-42
9,83879922,-42
10,83880033,-42
11,83880144,-42
12,83880237,-42
13,83880357,-42
14,83880468,-42
15,83880597,-42
16,83883122,-44
17,83887460,-40
18,83887562,-40
19,83887682,-40
20,83887793,-40
21,83887904,-40
22,83888006,-40
23,83888126,-41
24,83888330,-41
25,83888441,-41
26,83890241,-49
27,83893194,-46
28,83893314,-46
29,83893461,-46
30,83893563,-46
31,83893701,-46
32,83893910,-45
33,83894021,-45
34,83894114,-45
35,83894207,-45
36,83894291,-45
37,83894402,-45
38,83894531,-45
39,83894678,-45
40,83894834,-45
41,83894936,-45
42,83895020,-45
43,83895251,-45
44,83895344,-45
45,83895482,-45
46,83895620,-45
47,83895731,-45
48,83895815,-45
49,83895908,-45
50,83896019,-45
51,83896241,-45
52,83896379,-45
53,83896490,-45
54,83896601,-45
55,83896685,-45
56,83896787,-46
57,83896889,-46
58,83897036,-46
59,83897183,-46
60,83897321,-46
61,83897459,-46
62,83897561,-46
63,83897690,-46
64,83897810,-46
65,83897912,-46
66,83898023,-45
67,83898869,-44
68,83898962,-44
69,83900159,-44
70,83901519,-47
71,83901630,-47
72,83901945,-48
73,83902140,-48
74,83902233,-48
75,83902362,-48
76,83902464,-49
77,83902548,-49
78,83902677,-48
79,83902797,-48
80,83902934,-48
81,83903027,-48
82,83903249,-47
83,83903360,-47
84,83903573,-46
85,83903764,-46
86,83903884,-46
87,83903995,-45
88,83904124,-45
89,83904262,-45
90,83904447,-45
91,83905624,-43
92,83905726,-43
93,83905837,-43
94,83905939,-42
95,83906032,-43
96,83906134,-42
97,83906236,-42
98,83906347,-42
99,83906458,-42
100,83906560,-42
101,83906782,-42
102,83906893,-43
103,83907004,-43
104,83907142,-43
105,83907253,-43
106,83907358,-43
107,83907451,-43
108,83907562,-43
109,83907655,-43
110,83907757,-43
111,83907841,-43
112,83907961,-43
113,83908054,-43
114,83908156,-43
115,83908285,-43
116,83908396,-43
117,83908534,-43
118,83908618,-43
119,83908720,-43
120,83908813,-43
121,83908897,-43
122,83909299,-42
123,83910466,-42
124,83910559,-43
125,83910670,-43
126,83910754,-43
127,83910892,-43
128,83911096,-43
129,83911309,-44
130,83911429,-44
131,83911522,-44
132,83911642,-44
133,83911753,-44
134,83911837,-44
135,83911974,-44
136,83912067,-44
137,83912196,-44
138,83912307,-44
139,83912400,-44
140,83912502,-44
141,83912595,-44
142,83912697,-44
143,83912790,-44
144,83912892,-44
145,83913012,-43
146,83913114,-43
147,83913318,-43
148,83913402,-43
149,83913540,-42
150,83913642,-42
151,83914624,-40
152,83915112,-40
153,83915223,-40
154,83915352,-40
155,83916559,-41
156,83916670,-41
157,83916875,-41
158,83916959,-42
159,83917052,-42
160,83920182,-51
161,83920302,-51
162,83920404,-50
163,83920506,-49
164,83920617,-49
165,83920728,-48
166,83920839,-48
167,83921005,-47
168,83921116,-47
169,83921236,-47
170,83921329,-47
171,83921440,-46
172,83921542,-46
173,83921662,-46
174,83921782,-46
175,83921893,-46
176,83922088,-46
177,83922266,-45
178,83922377,-45
179,83922497,-45
180,83922608,-45
181,83922985,-45
182,83923486,-45
183,83923570,-45
184,83923663,-45
185,83924316,-45
186,83924547,-45
187,83924658,-46
188,83924793,-46
189,83924886,-46
190,83924997,-46
191,83925108,-46
192,83925255,-46
193,83925393,-46
194,83925495,-46
195,83925606,-46
196,83925690,-46
197,83925801,-46
198,83925903,-46
199,83926023,-46
200,83928635,-45
201,83928746,-45
202,83928839,-45
203,83928950,-45
204,83929061,-46
205,83929301,-46
206,83929394,-47
207,83929514,-47
208,83929652,-47
209,83929763,-48
210,83929883,-48
211,83930095,-49
212,83930206,-49
213,83930290,-49
214,83930401,-49
215,83930722,-49
216,83930887,-49
217,83931293,-48
218,83931395,-48
219,83931617,-48
220,83931701,-48
221,83931803,-47
222,83933230,-44
223,83933341,-44
224,83933640,-44
225,83933751,-44
226,83933835,-44
227,83933919,-44
228,83934039,-44
229,83934123,-44
230,83934234,-44
231,83934410,-44
232,83934494,-44
233,83934578,-44
234,83934698,-44
235,83934800,-44
236,83934911,-43
237,83935022,-44
238,83935133,-44
239,83935365,-43
240,83935458,-44
241,83935542,-44
242,83938694,-43
243,83939389,-43
244,83939993,-44
245,83940086,-44
246,83940206,-44
247,83940326,-44
248,83940428,-44
249,83940539,-44
250,83940632,-44
251,83940743,-44
252,83940863,-44
253,83940956,-44
254,83941049,-44
255,83941151,-44
256,83941373,-44
257,83941529,-44
258,83941631,-43
259,83941724,-43
260,83941844,-43
261,83941955,-43
262,83942039,-43
263,83942204,-42
264,83942288,-42
265,83942399,-42
266,83942501,-42
267,83942585,-42
268,83942669,-42
269,83942780,-42
270,83942882,-41
271,83942993,-41
272,83943077,-41
273,83943333,-41
274,83943444,-41
275,83943564,-41
276,83943675,-40
277,83944010,-40
278,83944104,-40
279,83944206,-41
280,83946761,-48
281,83946992,-50
282,83947094,-51
283,83947223,-52
284,83947334,-53
285,83947419,-54
286,83947520,-54
287,83947613,-55
288,83947724,-55
289,83947835,-55
290,83947929,-55
291,83948013,-54
292,83948176,-53
293,83948416,-51
294,83948527,-51
295,83948665,-50
296,83948776,-49
297,83948869,-49
298,83949770,-45
299,83949864,-45
300,83950028,-45
301,83950139,-45
302,83950277,-45
303,83950397,-45
304,83950535,-45
305,83950655,-45
306,83950775,-45
307,83950895,-45
308,83951006,-45
309,83951091,-45
310,83951330,-45
311,83951468,-45
312,83951588,-45
313,83951726,-44
314,83951837,-44
315,83951939,-45
316,83952041,-45
317,83952245,-45
318,83952339,-45
319,83952476,-45
320,83952587,-45
321,83952707,-45
322,83952809,-45
323,83952947,-46
324,83953032,-46
325,83953151,-46
326,83953244,-46
327,83953676,-46
328,83953769,-46
329,83953871,-46
330,83953973,-46
331,83954066,-46
332,83954177,-46
333,83954288,-46
334,83954381,-46
335,83954474,-46
336,83954558,-46
337,83954696,-46
338,83954780,-46
339,83955115,-45
340,83955217,-45
341,83955319,-45
342,83955430,-45
343,83955541,-45
344,83955940,-45
345,83956033,-45
346,83956117,-45
347,83956228,-45
348,83956339,-45
349,83956450,-45
350,83956543,-45
351,83956663,-45
352,83956783,-45
353,83956894,-46
354,83957014,-46
355,83957116,-46
356,83957218,-46
357,83957330,-47
358,83957422,-47
359,83957542,-47
360,83957635,-48
361,83957737,-48
362,83957830,-48
363,83957932,-49
364,83958119,-49
365,83958230,-49
366,83958314,-50
367,83958425,-50
368,83958527,-50
369,83958620,-50
370,83958800,-50
371,83959117,-49
372,83959228,-49
373,83959357,-49
374,83959664,-48
375,83959885,-47
376,83960343,-46
377,83960454,-46
378,83960583,-46
379,83960694,-46
380,83960796,-45
381,83960907,-45
382,83961165,-45
383,83961294,-45
384,83961432,-45
385,83961552,-44
386,83961654,-44
387,83961792,-44
388,83963136,-44
389,83963338,-44
390,83963440,-44
391,83963524,-44
392,83963635,-44
393,83963746,-44
394,83963830,-44
395,83963914,-44
396,83963998,-44
397,83964100,-44
398,83964331,-43
399,83964451,-43
400,83964571,-43
401,83964718,-43
402,83964811,-43
403,83964949,-43
404,83965033,-43
405,83966453,-42
406,83966573,-42
407,83966702,-42
408,83966822,-42
409,83966951,-42
410,83967044,-42
411,83967239,-43
412,83967359,-43
413,83967506,-43
414,83967635,-43
415,83967737,-44
416,83968054,-44
417,83968165,-44
418,83968494,-45
419,83968605,-45
420,83968689,-45
421,83968782,-45
422,83968924,-45
423,83969017,-45
424,83969110,-45
425,83969194,-45
426,83969323,-45
427,83969434,-45
428,83969563,-45
429,83969692,-45
430,83969794,-44
431,83969992,-44
432,83970103,-44
433,83970289,-43
434,83970436,-43
435,83970601,-43
436,83970712,-42
437,83970850,-42
438,83970943,-42
439,83971054,-42
440,83971285,-42
441,83973410,-42
442,83973503,-42
443,83973632,-43
444,83973725,-43
445,83973836,-43
446,83973920,-43
447,83974058,-44
448,83974214,-45
449,83974334,-45
450,83974463,-46
451,83974574,-47
452,83975009,-49
453,83975111,-50
454,83975245,-52
455,83975392,-53
456,83975512,-54
457,83975623,-54
458,83975716,-55
459,83975809,-56
460,83975929,-56
461,83976169,-54
462,83976316,-53
463,83976427,-52
464,83976574,-51
465,83976667,-50
466,83976814,-49
467,83976907,-49
468,83977204,-47
469,83977315,-47
470,83979018,-44
471,83979267,-45
472,83979396,-44
473,83980611,-45
474,83983063,-45
475,83985489,-46
476,83985693,-47
477,83985822,-47
478,83985915,-47
479,83986008,-48
480,83986092,-48
481,83988462,-45
482,83988573,-45
483,83988901,-45
484,83989021,-45
485,83989225,-44
486,83991363,-43
487,83991456,-43
488,83991567,-43
489,83991687,-43
490,83991771,-43
491,83991864,-43
492,83992002,-43
493,83992242,-43
494,83992353,-43
495,83992437,-43
496,83992548,-43
497,83992650,-43
498,83992734,-43
499,83992845,-43
500,83992965,-43
501,83996756,-45
502,83996867,-45
503,83997161,-45
504,83997326,-45
505,83997566,-45
506,83997668,-45
507,83997815,-45
508,83997908,-45
509,83998046,-44
510,83998259,-44
511,83998370,-44
512,83998490,-43
513,84000523,-41
514,84000634,-40
515,84000736,-41
516,84000838,-41
517,84000940,-41
518,84001356,-42
519,84001467,-42
520,84001605,-42
521,84001734,-43
522,84001854,-43
523,84002511,-45
524,84003031,-48
525,84003115,-49
526,84003310,-50
527,84003457,-51
528,84003586,-52
529,84003688,-53
530,84003799,-54
531,84003919,-54
532,84004039,-54
533,84004132,-54
534,84004225,-54
535,84004390,-53
536,84004519,-52
537,84004612,-52
538,84004873,-50
539,84004966,-49
540,84005068,-49
541,84005161,-48
542,84005263,-48
543,84005392,-48
544,84005521,-47
545,84005623,-47
546,84005707,-46
547,84005809,-46
548,84005911,-46
549,84006004,-46
550,84006097,-45
551,84006208,-45
552,84006337,-45
553,84006430,-45
554,84006514,-45
555,84006625,-45
556,84006820,-45
557,84006931,-45
558,84013661,-45
559,84013772,-46
560,84013892,-46
561,84014012,-46
562,84014377,-47
563,84014461,-47
564,84014563,-47
565,84014647,-47
566,84014749,-47
567,84014869,-47
568,84014989,-47
569,84015127,-47
570,84015265,-47
571,84015349,-47
572,84015460,-47
573,84015544,-47
574,84015628,-47
575,84015766,-47
576,84015877,-46
577,84016176,-46
578,84016260,-46
579,84016416,-45
580,84018798,-43
581,84019038,-43
582,84019314,-43
583,84020008,-43
584,84020616,-43
585,84020972,-43
586,84021074,-43
587,84021389,-43
588,84021491,-42
589,84021593,-42
590,84021704,-42
591,84022613,-42
592,84022706,-42
593,84022853,-42
594,84022955,-42
595,84023048,-42
596,84023141,-42
597,84023288,-42
598,84023381,-42
599,84023492,-42
600,84023603,-42
601,84023687,-42
602,84023807,-43
603,84023918,-43
604,84024167,-43
605,84024305,-44
606,84024792,-45
607,84024903,-45
608,84025023,-45
609,84025116,-45
610,84025227,-46
611,84025329,-46
612,84025467,-46
613,84028481,-40
614,84028592,-40
615,84028850,-40
616,84029072,-40
617,84029174,-40
618,84029276,-41
619,84029478,-41
620,84029562,-41
621,84029664,-41
622,84029793,-42
623,84029895,-42
624,84030033,-42
625,84030117,-42
626,84030228,-43
627,84030330,-43
628,84030441,-43
629,84030561,-44
630,84030699,-44
631,84030819,-45
632,84030948,-46
633,84031050,-46
634,84031152,-47
635,84031245,-47
636,84031374,-48
637,84031521,-49
638,84031641,-50
639,84031770,-51
640,84031899,-52
641,84032010,-52
642,84032112,-53
643,84032307,-54
644,84032409,-54
645,84032520,-54
646,84032622,-53
647,84032742,-52
648,84032835,-52
649,84032973,-51
650,84033066,-50
651,84033168,-50
652,84033261,-49
653,84033408,-49
654,84033546,-48
655,84033648,-47
656,84039483,-45
657,84039567,-45
658,84039669,-45
659,84039792,-45
660,84039912,-45
661,84040175,-45
662,84040286,-45
663,84040433,-45
664,84040562,-45
665,84040673,-45
666,84040849,-45
667,84040951,-45
668,84041035,-45
669,84041137,-45
670,84041394,-45
671,84041514,-45
672,84041634,-45
673,84041727,-45
674,84041838,-46
675,84041967,-46
676,84043401,-48
677,84043494,-48
678,84044404,-47
679,84044497,-47
680,84044599,-46
681,84044692,-46
682,84044803,-46
683,84044941,-46
684,84045034,-46
685,84045172,-46
686,84045274,-45
687,84045385,-45
688,84045579,-45
689,84045690,-45
690,84045792,-45
691,84045876,-45
692,84045978,-44
693,84046080,-45
694,84046191,-44
695,84046311,-44
696,84046413,-44
697,84046497,-44
698,84046617,-44
699,84046710,-44
700,84046839,-44
701,84046932,-44
702,84047034,-44
703,84047421,-43
704,84047514,-43
705,84047661,-43
706,84047772,-43
707,84048102,-43
708,84048350,-43
709,84048477,-43
710,84048588,-43
711,84048690,-43
712,84048810,-43
713,84048939,-43
714,84049050,-43
715,84049161,-43
716,84049272,-43
717,84049419,-43
718,84049548,-43
719,84049704,-43
720,84049797,-43
721,84049899,-43
722,84050019,-43
723,84050370,-43
724,84050656,-42
725,84050767,-42
726,84050851,-42
727,84050953,-42
728,84051055,-42
729,84053748,-46
730,84053859,-46
731,84053961,-46
732,84054664,-44
733,84054775,-44
