Index,Timestamp_US,RSSI,Smoothed_RSSI
264,66119359,-50,-50
265,66119459,-50,-50
266,66119559,-50,-50
267,66119659,-50,-50
268,66119759,-50,-50
269,66119859,-50,-50
270,66119959,-50,-50
271,66120059,-50,-50
272,66120159,-49,-50
273,66120259,-49,-50
274,66120359,-49,-50
275,66120459,-49,-49
276,66120559,-49,-49
277,66120659,-49,-49
278,66120759,-49,-49
279,66120859,-49,-49
280,66120959,-49,-49
281,66121059,-49,-49
282,66121159,-49,-49
283,66121259,-49,-49
284,66121359,-49,-49
285,66121459,-49,-49
286,66121559,-49,-49
287,66121659,-49,-49
288,66121759,-49,-49
289,66121859,-48,-49
290,66121959,-48,-48
291,66122059,-48,-48
292,66122159,-48,-48
293,66122259,-48,-48
294,66122359,-48,-48
295,66122459,-48,-48
296,66122559,-48,-48
297,66122659,-48,-48
298,66122759,-48,-48
299,66122859,-48,-48
300,66122959,-48,-48
301,66123059,-48,-48
302,66123159,-48,-48
303,66123259,-48,-48
304,66123359,-48,-48
305,66123459,-48,-48
306,66123559,-48,-48
307,66123659,-48,-48
308,66123759,-48,-48
309,66123859,-48,-48
310,66123959,-48,-48
311,66124059,-48,-48
312,66124159,-48,-48
313,66124259,-48,-48
314,66124359,-47,-47
315,66124459,-47,-47
316,66124559,-47,-47
317,66124659,-47,-47
318,66124759,-47,-47
319,66124859,-47,-47
320,66124959,-47,-47
321,66125059,-47,-47
322,66125159,-47,-47
323,66125259,-47,-47
324,66125359,-47,-47
325,66125459,-47,-47
326,66125559,-47,-47
327,66125659,-47,-47
328,66125759,-47,-47
329,66125859,-47,-47
330,66125959,-47,-47
331,66126059,-47,-47
332,66126159,-47,-47
333,66126259,-47,-47
334,66126359,-47,-47
335,66126459,-47,-47
336,66126559,-47,-47
337,66126659,-47,-47
338,66126759,-47,-47
339,66126859,-47,-47
340,66126959,-47,-47
341,66127059,-47,-47
342,66127159,-47,-47
343,66127259,-47,-47
344,66127359,-47,-47
345,66127459,-47,-47
346,66127559,-47,-47
347,66127659,-47,-47
348,66127759,-46,-46
349,66127859,-46,-46
350,66127959,-46,-46
351,66128059,-46,-46
352,66128159,-46,-46
353,66128259,-46,-46
354,66128359,-46,-46
355,66128459,-46,-46
356,66128559,-46,-46
357,66128659,-46,-46
358,66128759,-46,-46
359,66128859,-46,-46
360,66128959,-46,-46
361,66129059,-46,-46
362,66129159,-46,-46
363,66129259,-46,-46
364,66129359,-46,-46
365,66129459,-46,-46
366,66129559,-46,-46
367,66129659,-46,-46
368,66129759,-46,-46
369,66129859,-46,-46
370,66129959,-46,-46
371,66130059,-46,-46
372,66130159,-46,-46
373,66130259,-46,-46
374,66130359,-46,-46
375,66130459,-46,-46
376,66130559,-46,-46
377,66130659,-46,-46
378,66130759,-46,-46
379,66130859,-46,-46
380,66130959,-46,-46
381,66131059,-46,-46
382,66131159,-46,-46
383,66131259,-46,-46
384,66131359,-46,-46
385,66131459,-46,-46
386,66131559,-46,-46
387,66131659,-46,-46
388,66131759,-46,-46
389,66131859,-46,-46
390,66131959,-46,-46
391,66132059,-46,-46
392,66132159,-46,-46
393,66132259,-46,-46
394,66132359,-46,-46
395,66132459,-46,-46
396,66132559,-46,-46
397,66132659,-46,-46
398,66132759,-46,-46
399,66132859,-46,-46
400,66132959,-46,-46
401,66133059,-46,-46
402,66133159,-46,-46
403,66133259,-46,-46
404,66133359,-46,-46
405,66133459,-46,-46
406,66133559,-46,-46
407,66133659,-46,-46
408,66133759,-46,-46
409,66133859,-46,-46
410,66133959,-46,-46
411,66134059,-46,-46
412,66134159,-46,-46
413,66134259,-46,-46
414,66134359,-46,-46
415,66134459,-46,-46
416,66134559,-46,-46
417,66134659,-46,-46
418,66134759,-46,-46
419,66134859,-46,-46
420,66134959,-46,-46
421,66135059,-46,-46
422,66135159,-46,-46
423,66135259,-46,-46
424,66135359,-46,-46
425,66135459,-46,-46
426,66135559,-46,-46
427,66135659,-46,-46
428,66135759,-46,-46
429,66135859,-46,-46
430,66135959,-46,-46
431,66136059,-46,-46
432,66136159,-46,-46
433,66136259,-46,-46
434,66136359,-46,-46
435,66136459,-46,-46
436,66136559,-46,-46
437,66136659,-46,-46
438,66136759,-46,-46
439,66136859,-46,-46
440,66136959,-47,-46
441,66137059,-47,-46
442,66137159,-47,-46
443,66137259,-47,-46
444,66137359,-47,-46
445,66137459,-47,-46
446,66137559,-47,-46
447,66137659,-47,-46
448,66137759,-47,-46
449,66137859,-47,-46
450,66137959,-47,-46
451,66138059,-47,-46
452,66138159,-47,-46
453,66138259,-47,-46
454,66138359,-47,-46
455,66138459,-47,-46
456,66138559,-47,-46
457,66138659,-47,-46
458,66138759,-47,-46
459,66138859,-47,-47
460,66138959,-47,-47
461,66139059,-47,-47
462,66139159,-47,-47
463,66139259,-47,-47
464,66139359,-47,-47
465,66139459,-47,-47
466,66139559,-47,-47
467,66139659,-47,-47
468,66139759,-47,-47
469,66139859,-47,-47
470,66139959,-47,-47
471,66140059,-47,-47
472,66140159,-47,-47
473,66140259,-48,-47
474,66140359,-48,-47
475,66140459,-48,-47
476,66140559,-48,-47
477,66140659,-48,-47
478,66140759,-48,-47
479,66140859,-48,-47
480,66140959,-48,-47
481,66141059,-48,-47
482,66141159,-48,-47
483,66141259,-48,-47
484,66141359,-48,-47
485,66141459,-48,-47
486,66141559,-48,-47
487,66141659,-48,-47
488,66141759,-48,-47
489,66141859,-48,-47
490,66141959,-48,-47
491,66142059,-48,-47
492,66142159,-48,-48
493,66142259,-48,-48
