Index,Timestamp_US,RSSI,Smoothed_RSSI
264,36596284,-46,-53
265,36596384,-46,-53
266,36596484,-46,-53
267,36596584,-46,-53
268,36596684,-46,-53
269,36596784,-46,-51
270,36596884,-46,-49
271,36596984,-46,-48
272,36597084,-46,-46
273,36597184,-46,-46
274,36597284,-46,-46
275,36597384,-47,-46
276,36597484,-47,-46
277,36597584,-47,-46
278,36597684,-47,-46
279,36597784,-47,-46
280,36597884,-47,-46
281,36597984,-47,-46
282,36598084,-47,-46
283,36598184,-47,-46
284,36598284,-47,-46
285,36598384,-47,-46
286,36598484,-47,-46
287,36598584,-47,-46
288,36598684,-47,-46
289,36598784,-47,-46
290,36598884,-47,-46
291,36598984,-47,-46
292,36599084,-47,-46
293,36599184,-47,-46
294,36599284,-47,-47
295,36599384,-47,-47
296,36599484,-47,-47
297,36599584,-47,-47
298,36599684,-47,-47
299,36599784,-47,-47
300,36599884,-47,-47
301,36599984,-47,-47
302,36600084,-47,-47
303,36600184,-47,-47
304,36600284,-47,-47
305,36600384,-47,-47
306,36600484,-47,-47
307,36600584,-47,-47
308,36600684,-47,-47
309,36600784,-47,-47
310,36600884,-47,-47
311,36600984,-47,-47
312,36601084,-47,-47
313,36601184,-47,-47
314,36601284,-47,-47
315,36601384,-47,-47
316,36601484,-47,-47
317,36601584,-47,-47
318,36601684,-47,-47
319,36601784,-47,-47
320,36601884,-47,-47
321,36601984,-47,-47
322,36602084,-47,-47
323,36602184,-47,-47
324,36602284,-47,-47
325,36602384,-47,-47
326,36602484,-47,-47
327,36602584,-47,-47
328,36602684,-47,-47
329,36602784,-47,-47
330,36602884,-47,-47
331,36602984,-47,-47
332,36603084,-47,-47
333,36603184,-47,-47
334,36603284,-47,-47
335,36603384,-47,-47
336,36603484,-47,-47
337,36603584,-47,-47
338,36603684,-47,-47
339,36603784,-47,-47
340,36603884,-47,-47
341,36603984,-47,-47
342,36604084,-47,-47
343,36604184,-47,-47
344,36604284,-47,-47
345,36604384,-47,-47
346,36604484,-47,-47
347,36604584,-47,-47
348,36604684,-47,-47
349,36604784,-47,-47
350,36604884,-47,-47
351,36604984,-47,-47
352,36605084,-47,-47
353,36605184,-47,-47
354,36605284,-47,-47
355,36605384,-47,-47
356,36605484,-47,-47
357,36605584,-47,-47
358,36605684,-47,-47
359,36605784,-47,-47
360,36605884,-47,-47
361,36605984,-47,-47
362,36606084,-47,-47
363,36606184,-47,-47
364,36606284,-47,-47
365,36606384,-47,-47
366,36606484,-47,-47
367,36606584,-47,-47
368,36606684,-47,-47
369,36606784,-47,-47
370,36606884,-47,-47
371,36606984,-47,-47
372,36607084,-47,-47
373,36607184,-47,-47
374,36607284,-47,-47
375,36607384,-47,-47
376,36607484,-47,-47
377,36607584,-47,-47
378,36607684,-47,-47
379,36607784,-47,-47
380,36607884,-47,-47
381,36607984,-47,-47
382,36608084,-47,-47
383,36608184,-47,-47
384,36608284,-47,-47
385,36608384,-47,-47
386,36608484,-47,-47
387,36608584,-47,-47
388,36608684,-47,-47
389,36608784,-47,-47
390,36608884,-47,-47
391,36608984,-47,-47
392,36609084,-47,-47
393,36609184,-47,-47
394,36609284,-47,-47
395,36609384,-47,-47
396,36609484,-47,-47
397,36609584,-47,-47
398,36609684,-47,-47
399,36609784,-47,-47
400,36609884,-47,-47
401,36609984,-47,-47
402,36610084,-47,-47
403,36610184,-47,-47
404,36610284,-47,-47
405,36610384,-47,-47
406,36610484,-47,-47
407,36610584,-47,-47
408,36610684,-47,-47
409,36610784,-47,-47
410,36610884,-47,-47
411,36610984,-47,-47
412,36611084,-47,-47
413,36611184,-47,-47
414,36611284,-47,-47
415,36611384,-47,-47
416,36611484,-47,-47
417,36611584,-47,-47
418,36611684,-47,-47
419,36611784,-47,-47
420,36611884,-47,-47
421,36611984,-47,-47
422,36612084,-47,-47
423,36612184,-47,-47
424,36612284,-47,-47
425,36612384,-47,-47
426,36612484,-47,-47
427,36612584,-47,-47
428,36612684,-47,-47
429,36612784,-47,-47
430,36612884,-47,-47
431,36612984,-47,-47
432,36613084,-47,-47
433,36613184,-47,-47
434,36613284,-47,-47
435,36613384,-47,-47
436,36613484,-47,-47
437,36613584,-47,-47
438,36613684,-47,-47
439,36613784,-47,-47
440,36613884,-47,-47
441,36613984,-47,-47
442,36614084,-47,-47
443,36614184,-47,-47
444,36614284,-47,-47
445,36614384,-47,-47
446,36614484,-47,-47
447,36614584,-47,-47
448,36614684,-47,-47
449,36614784,-47,-47
450,36614884,-47,-47
451,36614984,-47,-47
452,36615084,-47,-47
453,36615184,-47,-47
454,36615284,-47,-47
455,36615384,-47,-47
456,36615484,-47,-47
457,36615584,-47,-47
458,36615684,-47,-47
459,36615784,-47,-47
460,36615884,-47,-47
461,36615984,-47,-47
462,36616084,-47,-47
463,36616184,-47,-47
464,36616284,-47,-47
465,36616384,-47,-47
466,36616484,-47,-47
467,36616584,-47,-47
468,36616684,-47,-47
469,36616784,-47,-47
470,36616884,-47,-47
471,36616984,-47,-47
472,36617084,-47,-47
473,36617184,-47,-47
474,36617284,-47,-47
475,36617384,-47,-47
476,36617484,-47,-47
477,36617584,-47,-47
478,36617684,-47,-47
479,36617784,-47,-47
480,36617884,-47,-47
481,36617984,-47,-47
482,36618084,-84,-48
483,36618184,-47,-48
484,36618284,-47,-48
485,36618384,-47,-48
486,36618484,-47,-48
487,36618584,-47,-48
488,36618684,-47,-48
489,36618784,-47,-48
490,36618884,-47,-48
491,36618984,-80,-50
492,36619084,-80,-52
493,36619184,-80,-53
494,36619284,-80,-55
495,36619384,-80,-57
496,36619484,-80,-58
497,36619584,-80,-60
498,36619684,-80,-62
499,36619784,-80,-63
500,36619884,-80,-65
501,36619984,-80,-67
502,36620084,-80,-66
503,36620184,-80,-68
504,36620284,-80,-70
505,36620384,-80,-71
506,36620484,-80,-73
507,36620584,-80,-75
508,36620684,-80,-76
509,36620784,-46,-76
510,36620884,-46,-76
511,36620984,-46,-74
512,36621084,-46,-73
513,36621184,-46,-71
514,36621284,-46,-69
515,36621384,-46,-68
516,36621484,-46,-66
517,36621584,-46,-64
518,36621684,-46,-63
519,36621784,-46,-61
520,36621884,-46,-59
521,36621984,-46,-57
522,36622084,-46,-56
523,36622184,-46,-54
524,36622284,-46,-52
525,36622384,-46,-51
526,36622484,-46,-49
527,36622584,-46,-47
528,36622684,-46,-46
529,36622784,-46,-46
530,36622884,-46,-46
531,36622984,-46,-46
532,36623084,-46,-46
533,36623184,-46,-46
534,36623284,-46,-46
535,36623384,-46,-46
536,36623484,-46,-46
537,36623584,-46,-46
538,36623684,-46,-46
539,36623784,-46,-46
540,36623884,-46,-46
541,36623984,-46,-46
542,36624084,-47,-46
543,36624184,-47,-46
544,36624284,-47,-46
545,36624384,-47,-46
546,36624484,-47,-46
547,36624584,-47,-46
548,36624684,-47,-46
549,36624784,-47,-46
550,36624884,-47,-46
551,36624984,-47,-46
552,36625084,-47,-46
553,36625184,-47,-46
554,36625284,-47,-46
555,36625384,-47,-46
556,36625484,-47,-46
557,36625584,-47,-46
558,36625684,-47,-46
559,36625784,-46,-46
560,36625884,-46,-46
561,36625984,-46,-46
562,36626084,-46,-46
563,36626184,-46,-46
564,36626284,-46,-46
565,36626384,-46,-46
566,36626484,-46,-46
567,36626584,-47,-46
568,36626684,-47,-46
569,36626784,-47,-46
570,36626884,-47,-46
571,36626984,-47,-46
572,36627084,-47,-46
573,36627184,-47,-46
574,36627284,-47,-46
575,36627384,-47,-46
576,36627484,-47,-46
577,36627584,-47,-46
578,36627684,-47,-46
579,36627784,-47,-46
580,36627884,-47,-46
581,36627984,-47,-46
582,36628084,-80,-48
583,36628184,-80,-50
584,36628284,-80,-51
585,36628384,-80,-53
586,36628484,-80,-55
587,36628584,-80,-56
588,36628684,-80,-58
589,36628784,-80,-60
590,36628884,-80,-61
591,36628984,-80,-63
592,36629084,-80,-65
593,36629184,-80,-66
594,36629284,-80,-68
595,36629384,-46,-68
596,36629484,-46,-68
597,36629584,-46,-68
598,36629684,-46,-68
599,36629784,-46,-68
600,36629884,-46,-68
601,36629984,-46,-68
602,36630084,-46,-66
603,36630184,-46,-64
604,36630284,-46,-63
605,36630384,-46,-61
606,36630484,-46,-59
607,36630584,-46,-57
608,36630684,-46,-56
609,36630784,-46,-54
610,36630884,-46,-52
611,36630984,-46,-51
612,36631084,-46,-49
613,36631184,-46,-47
614,36631284,-46,-46
615,36631384,-46,-46
616,36631484,-46,-46
617,36631584,-46,-46
618,36631684,-46,-46
619,36631784,-46,-46
620,36631884,-46,-46
621,36631984,-46,-46
622,36632084,-46,-46
623,36632184,-46,-46
624,36632284,-46,-46
625,36632384,-46,-46
626,36632484,-46,-46
627,36632584,-46,-46
628,36632684,-46,-46
629,36632784,-46,-46
630,36632884,-46,-46
631,36632984,-46,-46
632,36633084,-46,-46
633,36633184,-46,-46
634,36633284,-46,-46
635,36633384,-46,-46
636,36633484,-46,-46
637,36633584,-46,-46
638,36633684,-46,-46
639,36633784,-46,-46
640,36633884,-46,-46
641,36633984,-47,-46
642,36634084,-46,-46
643,36634184,-47,-46
644,36634284,-47,-46
645,36634384,-47,-46
646,36634484,-47,-46
647,36634584,-47,-46
648,36634684,-47,-46
649,36634784,-47,-46
650,36634884,-47,-46
651,36634984,-47,-46
652,36635084,-47,-46
653,36635184,-47,-46
654,36635284,-47,-46
655,36635384,-47,-46
656,36635484,-47,-46
657,36635584,-47,-46
658,36635684,-47,-46
659,36635784,-47,-46
660,36635884,-47,-46
661,36635984,-47,-46
662,36636084,-47,-47
663,36636184,-47,-47
664,36636284,-47,-47
665,36636384,-47,-47
666,36636484,-47,-47
667,36636584,-47,-47
668,36636684,-47,-47
669,36636784,-47,-47
670,36636884,-47,-47
671,36636984,-47,-47
672,36637084,-47,-47
673,36637184,-47,-47
674,36637284,-47,-47
675,36637384,-47,-47
676,36637484,-47,-47
677,36637584,-47,-47
678,36637684,-47,-47
679,36637784,-47,-47
680,36637884,-47,-47
681,36637984,-47,-47
682,36638084,-47,-47
683,36638184,-47,-47
684,36638284,-47,-47
685,36638384,-47,-47
686,36638484,-47,-47
687,36638584,-47,-47
688,36638684,-47,-47
689,36638784,-47,-47
690,36638884,-47,-47
691,36638984,-47,-47
692,36639084,-47,-47
693,36639184,-47,-47
694,36639284,-47,-47
695,36639384,-47,-47
696,36639484,-47,-47
697,36639584,-47,-47
698,36639684,-47,-47
699,36639784,-47,-47
700,36639884,-47,-47
701,36639984,-47,-47
702,36640084,-47,-47
703,36640184,-47,-47
704,36640284,-47,-47
705,36640384,-47,-47
706,36640484,-47,-47
707,36640584,-47,-47
708,36640684,-47,-47
709,36640784,-47,-47
710,36640884,-47,-47
711,36640984,-47,-47
712,36641084,-47,-47
713,36641184,-47,-47
714,36641284,-47,-47
715,36641384,-47,-47
716,36641484,-47,-47
717,36641584,-47,-47
718,36641684,-47,-47
719,36641784,-47,-47
