local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
828841558,25066496,-4896,-8000,-22848,-58,94,828841558,-18,-25,-19,-19,-19,-19,-17,-22,-17,-17,-18,-15,-18,-14,-18,-12,-18,-15,-18,-15,-19,-14,-18,-8,-20,-8,-20,-6,-20,-10,-21,-10,-21,-6,-21,-10,-21,-10,-20,-10,-20,-11,-19,-7,-19,-7,-18,-9,-16,-12,-15,-12,0,0,0,0,-12,-27,-11,-28,-12,-27,-10,-29,-10,-29,-11,-26,-11,-26,-12,-24,-12,-28,-11,-27,-11,-26,-14,-23,-15,-22,-16,-23,-16,-23,-15,-26,-17,-23,-18,-23,-16,-27
828841658,25066496,-4896,-8000,-22848,-58,94,828841658,14,28,14,21,14,21,15,24,13,20,13,18,13,17,12,16,15,18,16,17,18,15,16,11,16,9,17,13,10,20,12,21,13,19,8,21,13,19,13,19,13,18,14,16,13,10,15,13,10,16,13,10,14,14,13,15,0,0,0,0,6,29,6,30,6,27,6,31,7,30,7,27,7,26,6,27,8,28,8,29,8,28,8,26,9,25,9,24,13,10,25,11,29,13
828841855,25069086,-4896,-8000,-22848,-58,94,828841855,25,-9,28,-9,28,-8,22,-10,25,-8,24,-9,23,-10,22,-10,18,-11,16,-12,15,-14,17,-14,17,-14,17,-15,13,-16,13,-16,17,-18,13,-16,13,-15,14,-15,14,-14,18,-13,19,-13,17,-11,14,-12,14,-10,0,0,0,0,27,-6,28,-5,30,-2,28,-5,28,-4,30,-1,30,-2,28,-1,27,-5,26,-4,26,-4,28,-4,30,-5,30,-5,30,-6,26,-7,31,-8,31,-8,27,-9
828841932,25069086,-4896,-8000,-22848,-58,94,828841932,-22,-19,-23,-14,-23,-13,-21,-16,-21,-12,-21,-10,-21,-9,-20,-8,-21,-11,-20,-9,-21,-8,-20,-3,-21,-2,-22,-1,-21,-5,-22,-4,-22,1,-23,-5,-22,-5,-21,-6,-21,-6,-21,-3,-20,-3,-20,-3,-18,-8,-17,-8,0,0,0,0,-18,-23,-18,-23,-19,-22,-18,-23,-18,-24,-20,-21,-19,-21,-19,-20,-19,-22,-18,-21,-18,-21,-20,-18,-21,-18,-21,-18,-22,-17,-21,-20,-24,-17,-24,-16,-23,-21
828842096,25069342,-4896,-8000,-22848,-58,94,828842096,-10,28,-12,25,-11,24,-7,25,-10,22,-8,22,-8,21,-7,20,-2,22,0,23,2,23,-1,19,0,20,0,20,4,22,4,23,1,20,5,22,3,23,3,21,2,23,-2,20,-2,18,-2,18,-1,19,-2,19,0,0,0,0,-14,27,-15,27,-15,24,-14,28,-14,27,-16,23,-16,23,-16,22,-14,26,-13,26,-12,26,-14,23,-14,24,-14,24,-13,24,-11,28,-12,26,-12,27,-10,29
828842167,25069342,-4896,-8000,-22848,-58,94,828842167,18,-20,22,-20,21,-20,16,-19,19,-19,18,-18,17,-18,16,-18,13,10,-19,8,-18,6,-20,13,10,-20,9,-21,9,-21,4,-21,4,-22,7,-22,3,-21,5,-21,6,-20,6,-20,13,10,-19,13,10,-18,9,-19,6,-18,8,-17,0,0,0,0,23,-17,25,-16,25,-14,23,-18,23,-18,25,-15,25,-15,25,-13,22,-16,23,-16,20,-16,24,-16,24,-16,24,-16,25,-17,20,-19,23,-20
828842386,25069765,-4880,-8032,-22896,-58,94,828842386,-28,-1,-32,1,-31,2,-25,-1,-28,2,-27,3,-26,4,-25,5,-22,3,-20,4,-20,6,-22,8,-22,13,10,-22,11,-19,8,-19,9,-22,12,-19,9,-20,9,-19,8,-19,7,-22,8,-22,7,-21,7,-18,4,-18,3,0,0,0,0,-29,-5,-28,-6,-32,-7,-29,-6,-29,-7,-30,-7,-30,-7,-30,-6,-28,-6,-28,-6,-27,-6,-31,-5,-31,-3,-32,-3,-32,-2,-28,-4,-33,0,-33,0,-29
828842517,25069922,-4880,-8032,-22896,-58,94,828842517,23,16,26,12,24,13,10,23,13,24,8,23,9,22,8,20,6,21,9,18,6,19,3,22,-1,23,-2,22,-2,20,2,20,1,23,-3,21,2,21,3,21,4,20,6,22,2,20,0,21,0,17,5,17,6,0,0,0,0,19,19,21,21,23,17,22,17,22,18,25,18,25,18,22,18,21,18,20,17,20,17,24,15,24,16,23,16,25,16,22,17,27,11,29,12,26
828842649,25070081,-4880,-8032,-22896,-58,94,828842649,4,-29,5,-26,5,-29,2,-26,5,-27,3,-24,2,-24,2,-23,-5,-22,-3,-21,-4,-22,0,-22,-1,-21,-4,-23,-10,-20,-11,-21,-5,-21,-10,-22,-11,-20,-9,-21,-8,-21,-5,-20,0,-19,0,-20,-3,-20,-2,-20,0,0,0,0,9,-28,8,-30,14,-23,14,-27,15,-26,17,-23,16,-24,15,-25,7,-26,9,-28,8,-25,12,-28,9,-27,13,10,-26,8,-29,7,-26,11,-27,12,-28,8
828842781,25070139,-4880,-8032,-22896,-58,94,828842781,-2,-32,-1,-28,-1,-27,-3,-29,-1,-24,-2,-23,-3,-23,-3,-21,-7,-24,-9,-23,-11,-23,-8,-18,-9,-18,-9,-19,-13,-21,-13,-22,-11,-19,-14,-21,-13,-23,-12,-21,-11,-22,-9,-18,-8,-18,-8,-18,-8,-21,-7,-21,0,0,0,0,4,-32,5,-32,6,-28,5,-32,5,-32,6,-27,6,-27,6,-27,5,-31,5,-31,4,-30,4,-27,3,-27,3,-28,2,-29,0,-32,1,-29,0,-30,0,-34
