local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
846293613,42517618,-96,-608,-16,-56,94,846293613,15,24,15,19,15,19,15,21,14,16,14,15,14,15,15,13,17,16,17,14,19,13,17,9,18,9,18,8,20,11,21,12,19,8,21,12,19,12,19,13,18,13,15,13,10,15,9,14,9,14,13,13,13,0,0,0,0,5,30,5,32,6,27,6,31,5,30,6,26,6,26,6,25,6,28,6,27,7,26,9,23,9,22,13,10,23,11,23,11,25,13,21,14,22
846293767,42517982,-96,-608,-16,-57,94,846293767,20,-17,21,-16,22,-19,16,-16,20,-18,18,-17,17,-18,17,-17,12,-17,13,10,-16,9,-19,12,-19,12,-20,12,-21,7,-19,7,-21,13,10,-20,8,-20,8,-19,9,-18,8,-18,13,-17,12,-16,12,-16,9,-14,13,10,-13,0,0,0,0,26,-12,27,-12,27,-9,26,-12,26,-12,28,-9,28,-9,28,-9,23,-11,24,-12,21,-11,26,-12,25,-12,24,-12,25,-14,20,-14,25,-16,24
846293897,42518847,-96,-608,-16,-56,94,846293897,12,-26,15,-24,14,-24,13,10,-24,13,-22,11,-22,13,10,-23,9,-22,4,-24,2,-22,1,-23,5,-22,4,-22,3,-23,-2,-24,-2,-24,2,-24,-1,-24,-1,-24,0,-23,0,-23,6,-21,5,-20,6,-19,3,-19,4,-18,0,0,0,0,22,-23,23,-22,25,-18,22,-22,23,-22,24,-17,23,-18,22,-17,20,-22,20,-21,18,-21,20,-20,19,-20,19,-20,19,-22,16,-23,17,-22,18,-24
846294029,42519163,-96,-608,-16,-56,94,846294029,-14,-28,-13,-22,-14,-23,-15,-24,-13,-20,-14,-19,-14,-18,-14,-16,-17,-19,-17,-18,-18,-17,-16,-12,-17,-12,-19,-12,-20,-16,-21,-16,-19,-11,-21,-16,-20,-16,-19,-16,-18,-17,-15,-13,-14,-12,-14,-13,-13,-17,-12,-17,0,0,0,0,-6,-33,-5,-34,-5,-29,-5,-34,-4,-33,-5,-28,-5,-28,-5,-28,-6,-30,-5,-30,-6,-28,-8,-27,-9,-25,-9,-25,-10,-26,-11,-28,-12,-25,-13,-25,-13,-29
846294183,42519414,-32,-480,64,-57,94,846294183,-17,-26,-17,-21,-17,-21,-18,-23,-16,-18,-17,-18,-18,-16,-16,-15,-19,-17,-20,-17,-22,-14,-18,-10,-19,-10,-20,-9,-23,-13,-24,-13,-22,-9,-23,-13,-23,-14,-21,-14,-21,-14,-17,-11,-16,-11,-17,-10,-16,-14,-15,-15,0,0,0,0,-8,-33,-7,-33,-7,-30,-7,-34,-7,-32,-8,-29,-7,-28,-7,-27,-9,-30,-9,-30,-9,-29,-11,-26,-11,-25,-12,-24,-13,-24,-13,-28,-15,-24,-16,-24,-16,-29
846294368,42519590,-32,-480,64,-57,94,846294368,-25,6,-28,7,-28,7,-23,6,-26,7,-24,8,-24,9,-22,9,-19,9,-17,9,-17,11,-20,13,-20,14,-19,15,-15,13,-16,14,-20,15,-16,12,-16,12,-17,11,-16,11,-20,11,-20,13,10,-20,9,-15,7,-16,6,0,0,0,0,-30,-1,-30,-2,-31,-4,-30,-2,-29,-3,-31,-4,-31,-4,-29,-3,-28,-1,-27,-1,-25,-1,-29,-1,-29,1,-29,2,-30,3,-26,2,-31,5,-30,6,-26
846294568,42519810,-224,-512,48,-57,94,846294568,-24,-6,-28,-12,-24,-10,-25,-6,-22,-8,-25,-6,-24,-4,-23,-2,-21,0,-22,0,-21,0,-22,-2,-23,-1,-21,1,-23,3,-19,3,-25,1,-18,3,-21,5,-20,4,-21,5,-21,-1,-22,-2,-20,-4,-17,-1,-15,-1,0,0,0,0,-27,-15,-24,-17,-26,-22,-22,-19,-23,-18,-21,-21,-20,-21,-19,-17,-24,-18,-19,-14,-23,-16,-19,-16,-24,-14,-27,-13,-24,-13,-26,-10,-26,-14,-26,-13,-25,-9
846294669,42519810,-224,-512,48,-57,94,846294669,25,2,27,-1,28,-1,22,0,25,-2,25,-4,24,-5,23,-5,20,-4,18,-4,20,-6,21,-9,21,-10,22,-11,18,-8,19,-9,20,-12,19,-8,18,-8,18,-7,18,-6,21,-7,20,-7,20,-5,16,-3,15,-2,0,0,0,0,26,13,10,27,11,28,12,26,12,25,11,28,12,27,11,27,13,10,23,9,24,9,23,8,27,7,27,5,27,5,28,4,24,6,29,3,29,1
846294901,42520251,-192,-432,32,-56,94,846294901,22,-13,26,-14,25,-15,20,-13,23,-14,21,-15,21,-15,20,-15,15,-14,14,-15,13,-17,15,-18,16,-19,15,-20,13,10,-18,11,-18,15,-21,12,-18,12,-18,12,-16,12,-16,16,-17,17,-15,16,-15,12,-12,12,-12,0,0,0,0,29,-7,29,-6,32,-4,29,-5,29,-5,31,-4,30,-4,29,-4,26,-7,26,-6,24,-6,28,-7,28,-7,28,-9,28,-10,23,-10,29,-12,28,-13,25
846294999,42520251,-192,-432,32,-57,94,846294999,-9,-29,-8,-25,-8,-24,-10,-27,-8,-22,-10,-21,-10,-20,-10,-20,-14,-21,-14,-20,-16,-20,-13,-16,-14,-16,-14,-15,-18,-18,-19,-18,-16,-15,-19,-18,-18,-18,-16,-18,-16,-19,-12,-16,-11,-15,-10,-16,-11,-18,-10,-18,0,0,0,0,2,-33,3,-34,3,-29,3,-33,3,-32,4,-28,3,-27,2,-27,0,-31,0,-30,0,-29,-1,-27,-2,-26,-2,-26,-4,-27,-4,-30,-4,-27,-6,-27,-7,-31
