local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
829273476,25499244,-2592,-9152,-22720,-63,94,829273476,-20,-26,-21,-20,-21,-19,-18,-23,-18,-17,-17,-15,-18,-15,-16,-14,-18,-16,-18,-15,-20,-13,-18,-8,-19,-7,-20,-7,-20,-10,-20,-9,-21,-5,-20,-9,-21,-10,-19,-9,-20,-10,-20,-7,-20,-5,-19,-6,-18,-9,-18,-10,0,0,0,0,-17,-23,-16,-24,-18,-21,-18,-24,-17,-24,-18,-21,-17,-21,-16,-21,-17,-24,-16,-24,-16,-24,-18,-20,-18,-20,-19,-20,-20,-21,-20,-25,-21,-20,-22,-21,-22,-26
829273609,25499244,-2592,-9152,-22720,-63,94,829273609,2,34,1,28,1,27,3,30,1,25,1,23,2,23,1,21,5,25,7,23,13,10,22,6,17,9,17,9,17,12,19,13,20,11,17,13,20,12,20,11,20,11,21,9,17,9,16,13,10,17,13,10,20,9,20,0,0,0,0,0,29,-1,30,-2,26,-1,31,-1,31,-1,27,-2,27,-1,26,0,30,-1,30,1,29,-1,27,-1,27,-1,28,-1,29,1,32,2,29,1
829273685,25499244,-2592,-9152,-22720,-63,94,829273685,25,14,27,9,27,9,23,13,10,25,8,24,7,23,5,23,5,19,6,19,4,20,2,21,-1,21,-2,23,-2,18,0,20,0,22,-4,20,-1,19,-1,18,-1,19,-1,21,-2,21,-3,22,-2,18,0,19,1,0,0,0,0,23,11,22,12,25,11,23,13,23,12,25,11,25,12,24,12,23,12,23,12,22,12,25,11,26,13,10,26,13,10,27,13,10,25,12,29,8
829273798,25499244,-2720,-9168,-22768,-63,94,829273798,16,-24,19,-21,20,-22,15,-21,19,-21,15,-20,14,-19,14,-19,8,-20,7,-20,5,-21,8,-19,8,-20,6,-22,2,-20,2,-23,4,-20,1,-23,1,-22,1,-22,1,-22,5,-20,5,-19,6,-20,3,-21,4,-21,0,0,0,0,17,-21,18,-21,19,-17,19,-21,18,-20,21,-17,21,-17,20,-17,17,-21,18,-21,16,-20,21,-20,20,-20,19,-21,21,-21,16,-22,20,-23,21,-23,19,-25
829273924,25499244,-2720,-9168,-22768,-63,94,829273924,-28,-10,-28,-5,-30,-6,-24,-7,-27,-4,-25,-3,-26,-2,-23,-1,-22,-3,-20,-3,-21,-1,-21,4,-21,4,-22,5,-19,2,-21,3,-20,7,-21,4,-20,3,-19,3,-19,4,-21,6,-21,6,-21,6,-19,2,-19,2,0,0,0,0,-24,-9,-24,-10,-26,-9,-25,-11,-25,-11,-27,-9,-27,-9,-26,-9,-24,-10,-25,-11,-23,-10,-27,-8,-27,-6,-27,-6,-28,-6,-27,-8,-31,-5,-31,-5,-29,-10
829273992,25499244,-2720,-9168,-22768,-63,94,829273992,18,26,17,20,18,21,16,23,15,19,16,17,16,16,16,14,16,17,16,16,18,14,17,9,17,8,19,8,18,13,10,20,11,19,6,21,11,20,13,10,19,12,19,13,10,18,8,18,7,19,7,17,11,16,11,0,0,0,0,14,23,13,24,14,22,13,25,14,25,14,22,14,22,13,22,12,24,13,25,14,24,15,22,16,22,15,21,17,21,16,26,18,22,19
829274130,25499244,-2432,-9104,-22832,-63,94,829274130,14,-26,18,-23,18,-23,12,-22,16,-21,14,-21,12,-21,12,-20,7,-21,5,-21,5,-22,7,-20,7,-21,4,-21,1,-21,0,-23,2,-21,-1,-22,-1,-23,-1,-21,-2,-22,3,-20,3,-19,4,-21,2,-22,3,-21,0,0,0,0,16,-23,18,-21,18,-18,17,-22,18,-20,20,-17,20,-17,19,-18,17,-21,18,-21,16,-20,20,-21,19,-20,18,-21,18,-22,15,-23,20,-23,19,-24,17,-26
829274249,25499244,-2432,-9104,-22832,-63,94,829274249,-25,-22,-26,-16,-26,-15,-23,-19,-23,-15,-24,-12,-23,-12,-22,-10,-22,-13,-21,-12,-22,-10,-22,-5,-23,-4,-23,-3,-22,-6,-23,-5,-24,-1,-23,-5,-23,-5,-23,-4,-22,-5,-23,-2,-22,-2,-23,-2,-21,-7,-20,-7,0,0,0,0,-20,-20,-20,-21,-22,-20,-18,-23,-20,-22,-20,-20,-20,-20,-21,-20,-20,-21,-20,-21,-21,-21,-23,-18,-24,-17,-23,-17,-26,-17,-24,-21,-26,-17,-27,-18,-25,-24
829274367,25499244,-2496,-9104,-22896,-63,94,829274367,-24,14,-27,14,-27,14,-21,14,-25,13,-24,13,-22,13,-22,13,-16,13,-15,13,-14,16,-17,16,-15,17,-16,17,-11,17,-10,18,-15,18,-10,19,-11,18,-11,16,-11,17,-14,17,-15,16,-15,17,-12,16,-13,16,0,0,0,0,-23,12,-23,12,-26,9,-25,12,-25,12,-26,13,10,-27,9,-26,9,-24,12,-23,12,-23,12,-27,12,-28,13,-28,12,-28,13,-24,13,-29,15,-29,17,-25
829274514,25499244,-2496,-9104,-22896,-63,94,829274514,23,20,23,15,23,16,21,18,20,13,21,11,20,13,10,20,9,20,12,20,11,20,13,10,18,5,20,4,20,4,21,6,22,7,22,2,21,7,22,6,21,6,21,5,21,4,21,2,21,4,18,8,18,8,0,0,0,0,19,17,19,19,21,16,19,20,18,20,19,17,19,17,18,17,19,20,18,20,19,18,21,15,21,15,22,15,22,16,23,19,23,15,24,16
