local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
823259637,19484947,-8640,-2416,-24272,-62,94,823259637,27,-2,31,-2,31,-4,26,-3,29,-3,28,-5,27,-5,26,-6,22,-7,21,-6,21,-8,22,-10,22,-11,23,-12,19,-10,20,-11,24,-13,20,-10,20,-10,20,-8,20,-8,24,-8,23,-7,22,-7,18,-4,18,-3,0,0,0,0,28,6,27,7,29,8,27,6,27,7,28,8,28,7,28,7,25,4,25,5,24,3,29,4,29,2,29,2,31,0,26,1,32,-1,33,-1,28,-1
823259784,19484947,-8432,-2464,-24160,-62,94,823259784,-28,1,-31,4,-27,6,-28,3,-23,5,-25,5,-26,4,-24,5,-23,4,-23,6,-20,8,-20,11,-21,13,-20,12,-21,13,10,-20,9,-24,14,-18,7,-22,7,-22,5,-22,6,-22,6,-24,8,-20,8,-20,4,-18,1,0,0,0,0,-28,-6,-29,-7,-32,-3,-27,-2,-27,-2,-27,-2,-29,-1,-26,-2,-27,-4,-24,-4,-27,-3,-24,0,-27,0,-27,0,-28,0,-30,-1,-28,5,-31,7,-27
823259991,19485240,-8432,-2464,-24160,-62,94,823259991,16,28,14,22,17,21,16,24,16,20,15,19,15,17,14,17,16,19,15,18,19,18,17,13,17,12,19,13,19,15,22,16,19,12,22,16,21,15,19,16,17,17,16,14,14,14,15,14,13,17,12,17,0,0,0,0,6,31,7,30,5,27,6,31,6,30,6,25,8,26,7,25,7,26,8,28,8,25,13,10,25,12,24,13,10,23,13,22,11,27,14,24,14,24
823260109,19485240,-8384,-2416,-24208,-62,94,823260109,19,-21,22,-18,22,-19,18,-19,19,-16,18,-18,18,-18,16,-17,12,-20,11,-19,13,10,-21,12,-19,12,-20,12,-20,8,-22,8,-23,11,-22,8,-21,9,-22,9,-21,13,10,-21,13,-19,13,-18,13,-17,13,10,-17,12,-16,0,0,0,0,24,-15,25,-13,25,-11,24,-13,24,-14,25,-10,25,-10,25,-10,22,-14,22,-13,21,-14,22,-13,23,-13,23,-14,23,-15,20,-18,22,-17,23
823260200,19485240,-8384,-2416,-24208,-62,94,823260200,-26,-12,-27,-9,-29,-10,-24,-10,-27,-8,-26,-6,-24,-5,-25,-4,-23,-5,-21,-4,-23,-2,-24,2,-25,2,-26,2,-21,0,-24,2,-24,3,-24,1,-24,0,-22,-1,-22,-1,-24,1,-22,1,-23,0,-19,-3,-19,-4,0,0,0,0,-21,-21,-19,-21,-20,-20,-20,-21,-20,-20,-22,-19,-22,-19,-21,-19,-19,-17,-21,-18,-19,-16,-24,-16,-24,-15,-25,-14,-26,-13,-23,-14,-28,-12,-28,-11,-24,-14
823260470,19486138,-8464,-2512,-24240,-62,94,823260470,-11,26,-13,21,-13,24,-9,24,-12,23,-11,21,-10,21,-9,21,-5,22,-4,22,-1,23,-4,21,-4,21,-3,22,1,22,1,25,-3,22,0,25,-1,23,-1,22,-2,22,-6,20,-7,19,-7,19,-4,19,-5,19,0,0,0,0,-20,21,-20,21,-21,17,-19,22,-20,22,-19,17,-20,17,-20,18,-17,20,-17,21,-15,19,-18,20,-18,20,-17,20,-17,20,-13,24,-16,23,-15,25,-12,27
823260540,19486138,-8464,-2512,-24240,-62,94,823260540,25,7,28,4,28,5,23,4,26,3,25,2,24,1,24,0,21,1,20,0,21,-1,22,-4,23,-5,24,-6,20,-4,22,-4,24,-7,21,-3,21,-3,21,-2,21,-3,23,-3,21,-3,22,-2,18,0,17,2,0,0,0,0,23,14,22,14,24,14,22,14,21,13,24,13,24,14,23,13,21,12,21,12,20,13,10,24,13,10,24,9,26,7,27,7,23,7,28,7,29,6
823260651,19486138,-8448,-2368,-24064,-62,94,823260651,-22,-21,-24,-19,-19,-14,-26,-21,-18,-14,-20,-14,-21,-12,-19,-13,-23,-13,-25,-13,-25,-11,-20,-8,-21,-7,-19,-6,-28,-8,-23,-5,-26,-7,-24,-8,-25,-8,-25,-9,-24,-10,-20,-6,-22,-10,-19,-10,-20,-12,-18,-11,0,0,0,0,-15,-27,-16,-28,-14,-28,-13,-29,-13,-28,-12,-24,-13,-24,-10,-19,-18,-27,-13,-22,-18,-26,-14,-18,-17,-20,-17,-19,-20,-19,-22,-25,-19,-21,-20,-21,-21,-23
823260768,19486138,-8448,-2368,-24064,-62,94,823260768,-26,8,-29,6,-29,9,-23,6,-26,7,-24,11,-24,11,-22,12,-20,11,-18,8,-20,9,-22,11,-21,13,-21,16,-17,11,-19,13,-20,16,-18,13,-18,14,-16,12,-17,13,-20,13,-21,11,-20,9,-18,6,-18,6,0,0,0,0,-28,-1,-27,-2,-29,-5,-27,-6,-27,-6,-28,-6,-29,-6,-27,-2,-24,-3,-26,-2,-24,-2,-28,0,-28,4,-28,5,-28,5,-25,2,-30,3,-31,5,-28,3
823260842,19486138,-8448,-2368,-24064,-62,94,823260842,0,31,-2,27,-1,27,2,28,-2,22,1,26,-2,24,2,23,3,26,7,23,13,10,22,7,18,8,22,9,21,9,23,9,24,11,19,13,10,21,9,25,8,22,9,24,1,22,7,18,6,17,5,21,5,21,0,0,0,0,-11,29,-14,27,-9,26,-7,30,-7,29,-7,25,-8,26,-10,22,-9,28,-9,27,-6,27,-7,23,-8,24,-5,25,-7,26,-2,28,0,26,1,28
