local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
840563764,36784401,336,416,128,-52,94,840563764,26,12,29,9,30,9,26,11,28,8,28,7,28,6,27,6,26,7,26,6,27,4,28,1,29,1,30,0,28,3,30,3,32,1,30,5,30,6,29,7,29,8,29,8,27,8,27,9,23,13,22,14,0,0,0,0,15,16,15,17,19,15,16,16,16,16,19,14,20,14,19,14,17,15,18,14,18,14,22,11,23,11,24,11,25,13,10,23,13,28,9,29,9,27
840563866,36784401,336,416,128,-52,94,840563866,-10,-30,-12,-26,-11,-26,-11,-29,-11,-24,-13,-24,-13,-23,-13,-22,-15,-25,-15,-24,-16,-25,-15,-20,-16,-21,-18,-21,-19,-24,-19,-25,-19,-22,-19,-26,-19,-26,-17,-26,-16,-27,-13,-24,-12,-24,-10,-25,-9,-26,-7,-26,0,0,0,0,1,-25,1,-25,0,-22,2,-25,1,-25,-1,-21,0,-21,-1,-21,-1,-25,-1,-25,-2,-25,-5,-22,-6,-22,-7,-23,-8,-23,-7,-27,-8,-24,-9,-26,-9,-31
840564041,36784555,336,416,128,-52,94,840564041,-26,-15,-29,-12,-30,-12,-26,-13,-29,-11,-28,-10,-28,-9,-27,-8,-27,-10,-26,-9,-28,-7,-28,-4,-30,-4,-31,-3,-29,-6,-31,-6,-32,-3,-31,-7,-31,-9,-29,-10,-29,-10,-29,-10,-27,-10,-27,-11,-24,-14,-22,-16,0,0,0,0,-14,-19,-15,-20,-17,-17,-15,-19,-16,-19,-19,-17,-19,-17,-18,-17,-17,-17,-18,-18,-17,-17,-22,-14,-22,-14,-23,-14,-25,-14,-22,-15,-27,-12,-29,-12,-26,-16
840564172,36784765,320,304,80,-52,94,840564172,-29,-3,-33,-1,-34,-1,-28,-2,-31,0,-31,1,-30,1,-29,2,-27,1,-26,2,-27,5,-28,6,-29,7,-31,8,-28,5,-30,6,-31,8,-30,5,-30,4,-30,2,-30,1,-31,1,-30,0,-30,-1,-26,-4,-26,-6,0,0,0,0,-20,-11,-20,-11,-23,-11,-20,-10,-21,-10,-24,-10,-24,-10,-24,-9,-21,-8,-22,-8,-21,-8,-27,-6,-27,-5,-27,-5,-29,-4,-26,-5,-31,-2,-32,-2,-29,-4
840564343,36784879,320,304,80,-52,94,840564343,3,30,2,26,3,27,4,29,3,25,3,25,4,25,5,23,6,26,9,25,11,26,9,21,13,10,23,11,23,11,26,12,28,13,10,25,11,28,13,10,29,8,28,8,29,3,26,4,25,3,25,2,26,0,26,0,0,0,0,-5,24,-7,23,-5,19,-5,24,-5,23,-5,19,-4,19,-5,19,-4,24,-4,24,-3,23,-2,21,-2,21,-1,22,-1,23,1,27,2,24,3
840564501,36784991,256,224,160,-52,94,840564501,-15,27,-19,24,-19,25,-14,25,-18,24,-15,25,-15,25,-14,24,-10,26,-9,24,-8,27,-11,25,-11,27,-9,29,-6,28,-6,30,-9,30,-8,30,-8,29,-9,28,-10,28,-15,26,-16,24,-17,24,-15,22,-16,21,0,0,0,0,-18,15,-19,15,-22,13,10,-20,14,-20,14,-22,11,-22,11,-21,12,-17,16,-18,17,-16,16,-20,16,-19,18,-18,18,-19,20,-16,21,-20,22,-20,23,-17
840564635,36784991,256,224,160,-52,94,840564635,27,7,30,5,30,4,27,5,29,3,28,2,28,2,28,1,26,2,25,1,26,-1,27,-4,28,-4,29,-5,27,-3,29,-3,30,-5,29,-1,29,0,28,1,28,2,29,2,28,3,28,4,24,7,23,8,0,0,0,0,16,13,17,13,20,12,17,13,17,13,20,12,21,12,20,11,18,11,19,11,18,13,10,23,8,24,7,25,7,27,7,23,8,28,6,29,6,27
840564838,36785263,272,384,160,-52,94,840564838,21,-22,24,-19,24,-21,19,-21,23,-19,21,-20,20,-21,20,-20,16,-23,14,-23,14,-25,16,-23,16,-25,16,-27,13,-26,14,-28,16,-26,15,-27,16,-27,17,-25,17,-25,22,-22,21,-20,21,-19,20,-18,20,-17,0,0,0,0,21,-10,21,-10,22,-6,21,-11,21,-11,23,-7,23,-8,22,-8,20,-12,20,-13,19,-13,22,-12,22,-13,22,-14,23,-15,19,-18,23,-17,24,-19,22,-22
840564956,36785263,272,384,160,-52,94,840564956,-26,11,-30,13,10,-30,11,-26,11,-28,13,10,-28,11,-27,12,-26,12,-23,13,-21,14,-22,16,-24,15,-24,16,-24,18,-21,18,-22,18,-26,19,-24,17,-24,16,-25,15,-25,14,-28,13,-28,11,-27,13,10,-24,7,-25,6,0,0,0,0,-22,0,-22,0,-25,-2,-22,1,-22,0,-25,-2,-25,-1,-24,0,-23,3,-22,3,-22,3,-26,3,-26,4,-27,5,-28,7,-25,8,-29,8,-30
840565038,36785263,272,384,160,-52,94,840565038,11,30,6,23,9,32,13,10,22,9,31,8,28,7,27,8,26,13,24,13,19,19,22,15,21,16,21,19,26,17,18,24,25,15,20,23,28,18,26,15,26,15,26,13,10,26,8,22,12,26,12,23,13,10,26,0,0,0,0,-4,24,-4,23,-6,18,-1,25,-1,24,-4,23,-3,22,-4,24,1,21,1,27,2,20,0,28,-1,25,-1,25,1,25,5,22,6,27,8
840565179,36785263,128,304,128,-52,94,840565179,-10,30,-13,25,-14,28,-9,27,-12,27,-11,26,-11,26,-10,25,-7,28,-4,26,-2,29,-5,26,-4,27,-3,30,-1,28,-1,33,-4,29,-2,32,-4,31,-6,30,-6,31,-11,28,-10,25,-11,26,-10,25,-12,24,0,0,0,0,-17,18,-17,17,-18,13,-16,19,-16,19,-17,15,-17,15,-17,16,-15,19,-15,21,-13,19,-16,19,-16,19,-15,20,-15,22,-12,25,-13,25,-13,27,-11,30
840565511,36785933,176,192,208,-52,94,840565511,3,31,-1,25,-1,29,1,28,0,27,5,25,6,24,6,24,8,25,7,24,6,27,4,23,4,24,8,26,8,25,13,10,30,7,25,11,31,12,29,11,26,13,10,29,5,25,2,25,-3,26,-2,26,-3,25,0,0,0,0,-5,24,-6,23,-8,18,-10,23,-9,23,-10,18,-10,17,-8,19,-6,22,-7,25,-5,22,-5,23,-1,22,0,23,0,23,0,26,-5,25,-4,27
