local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
829177664,25404793,6032,-2896,-28160,-56,94,829177664,28,11,29,5,30,5,28,8,28,4,28,2,29,2,28,2,29,4,29,4,31,2,27,-1,30,-2,32,-4,31,-2,33,-2,33,-3,34,0,35,1,34,3,34,4,32,3,30,5,30,6,29,13,10,28,11,0,0,0,0,15,16,15,17,16,13,16,17,15,17,17,13,17,12,17,12,17,14,18,14,18,14,21,9,21,8,23,8,23,7,23,12,26,6,27,7,27
829177779,25404793,6032,-2896,-28160,-55,94,829177779,-13,23,-15,22,-15,25,-11,23,-15,24,-15,24,-14,24,-13,23,-9,24,-8,24,-6,26,-9,26,-7,28,-8,29,-5,27,-5,30,-8,29,-8,30,-9,29,-10,28,-11,28,-14,27,-15,25,-15,26,-13,24,-16,22,0,0,0,0,-15,13,10,-16,13,10,-19,8,-16,12,-16,12,-19,9,-19,13,10,-19,13,10,-14,13,-15,14,-13,13,-18,14,-18,14,-18,14,-18,16,-14,18,-17,21
829177852,25404793,6032,-2896,-28160,-55,94,829177852,6,33,8,28,8,29,8,31,8,27,13,10,26,13,10,26,13,10,26,12,29,13,28,14,29,13,24,14,25,17,27,18,29,18,30,17,27,18,32,17,33,15,32,14,33,11,31,13,10,29,7,29,6,32,4,32,0,0,0,0,-7,24,-8,24,-5,19,-8,24,-7,24,-4,19,-4,20,-3,20,-5,24,-4,24,-3,25,0,21,1,22,2,22,3,23,1,27,4,25
829177948,25404793,6096,-2768,-28144,-55,94,829177948,24,-9,27,-9,29,-10,24,-10,28,-10,27,-11,26,-12,26,-12,23,-13,21,-13,22,-16,24,-16,24,-17,25,-19,22,-18,23,-20,26,-20,25,-18,26,-18,26,-16,26,-16,29,-14,29,-12,29,-11,25,-9,26,-7,0,0,0,0,18,2,18,2,21,5,19,2,19,2,22,5,22,4,22,3,19,0,19,0,19,-1,23,-1,24,-2,24,-2,25,-4,22,-5,27,-6,28,-7,25,-8
829178060,25404793,6096,-2768,-28144,-55,94,829178060,-4,-31,-2,-28,-1,-29,-5,-29,-2,-27,-3,-27,-3,-28,-4,-27,-8,-29,-10,-27,-12,-28,-9,-26,-11,-27,-11,-28,-13,-29,-14,-31,-12,-30,-13,-31,-12,-33,-10,-31,-9,-33,-3,-32,-4,-30,-3,-29,-4,-30,-1,-30,0,0,0,0,7,-22,8,-22,9,-18,6,-23,6,-23,8,-18,7,-18,8,-19,5,-22,5,-23,3,-23,5,-20,5,-21,4,-22,3,-23,-1,-26,0,-25,-1,-26,-3,-30
829178128,25404793,6096,-2768,-28144,-55,94,829178128,-17,25,-21,21,-22,25,-15,23,-21,24,-19,25,-19,24,-17,24,-15,25,-11,23,-10,27,-13,27,-12,29,-13,31,-10,28,-11,32,-13,31,-12,32,-14,30,-15,29,-16,29,-21,27,-19,25,-20,25,-18,23,-20,22,0,0,0,0,-19,13,10,-19,13,10,-22,7,-19,11,-19,11,-22,8,-22,8,-22,9,-18,12,-19,13,-16,12,-22,13,-21,14,-21,15,-21,17,-16,18,-21,20,-20,22
829178246,25404793,6096,-2720,-28256,-55,94,829178246,25,7,27,3,28,3,26,6,27,3,26,1,27,0,27,0,26,1,25,1,27,-1,26,-5,27,-5,28,-7,28,-3,31,-4,30,-7,32,-2,31,-2,30,0,31,1,30,0,29,1,29,2,26,6,26,7,0,0,0,0,12,14,13,15,16,12,14,15,14,14,17,11,16,11,17,11,15,12,15,12,15,12,20,8,20,7,21,7,22,6,20,9,25,5,26,5,25,9
829178375,25404793,6096,-2720,-28256,-55,94,829178375,19,-17,25,-21,21,-18,23,-21,21,-18,21,-21,20,-23,20,-21,16,-22,18,-23,17,-22,18,-23,19,-25,16,-24,16,-28,13,-25,21,-31,16,-24,17,-27,18,-27,18,-25,21,-26,25,-23,25,-20,23,-16,22,-14,0,0,0,0,18,-5,19,-6,25,-2,19,-3,19,-3,23,-2,23,-3,20,-3,20,-8,16,-7,20,-9,20,-8,22,-11,21,-12,22,-14,21,-14,25,-13,25,-15,21,-15
829179018,25404793,6112,-2528,-28368,-54,94,829179018,-16,-27,-17,-21,-19,-23,-17,-25,-18,-22,-18,-20,-18,-20,-18,-20,-20,-22,-20,-21,-23,-20,-21,-17,-23,-16,-25,-17,-25,-19,-28,-21,-26,-18,-28,-22,-26,-23,-24,-23,-24,-24,-22,-22,-20,-22,-20,-22,-18,-25,-16,-26,0,0,0,0,0,-23,0,-24,-2,-19,0,-24,-1,-24,-4,-20,-4,-20,-4,-20,-4,-23,-4,-23,-4,-23,-8,-20,-8,-20,-9,-20,-11,-21,-10,-24,-14,-21,-15,-22,-14,-27
829179607,25405878,5904,-2416,-28432,-54,94,829179607,26,0,29,-4,30,-4,26,-2,29,-5,28,-5,28,-6,28,-6,26,-5,25,-5,26,-9,26,-11,27,-11,29,-13,27,-10,29,-11,30,-13,30,-9,30,-7,30,-5,30,-5,31,-5,30,-4,30,-3,27,0,26,3,0,0,0,0,16,8,17,9,20,7,18,8,18,8,21,6,21,6,21,6,18,5,19,6,18,5,23,2,23,2,23,1,25,0,22,2,27,-2,28,-2,26,0
