local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
807314926,3539384,7840,-9200,-14496,-59,94,807314926,25,12,28,7,27,7,26,9,27,5,27,5,26,4,27,5,26,5,26,4,27,3,27,-1,27,-1,28,-2,29,1,30,1,31,-2,30,2,30,3,30,5,29,5,29,4,29,4,29,6,25,13,10,24,12,0,0,0,0,13,17,14,17,17,16,14,18,14,17,17,15,17,14,17,14,16,15,16,14,16,14,21,11,21,13,10,22,13,10,24,13,10,21,13,26,9
807315045,3539384,7488,-9360,-14464,-59,94,807315045,-26,-17,-28,-13,-31,-13,-25,-14,-28,-11,-29,-10,-29,-9,-27,-8,-28,-10,-26,-9,-28,-7,-29,-4,-31,-3,-33,-3,-29,-6,-33,-7,-32,-3,-33,-7,-32,-9,-31,-10,-32,-11,-31,-10,-30,-10,-30,-11,-27,-14,-26,-16,0,0,0,0,-13,-20,-13,-21,-17,-18,-13,-20,-14,-20,-17,-18,-18,-18,-18,-18,-15,-18,-16,-19,-15,-17,-21,-16,-21,-15,-22,-15,-23,-14,-21,-16,-26,-13,-28,-14,-25,-17
807315129,3539384,7488,-9360,-14464,-59,94,807315129,-16,24,-19,23,-20,25,-14,24,-18,25,-17,24,-15,25,-16,24,-10,25,-9,25,-9,27,-12,26,-11,28,-11,30,-6,29,-7,31,-11,30,-9,31,-9,31,-11,29,-12,29,-16,28,-17,26,-18,25,-16,24,-17,23,0,0,0,0,-19,13,-20,13,-22,9,-20,14,-20,13,-23,9,-22,9,-22,13,10,-17,15,-19,16,-16,15,-21,15,-20,15,-20,16,-20,18,-17,20,-20,20,-20,21,-17
807315226,3539384,7488,-9360,-14464,-59,94,807315226,21,17,25,12,23,11,24,15,22,13,10,23,13,10,23,11,23,13,10,24,12,24,13,10,26,8,25,5,26,4,26,4,28,7,27,6,30,5,29,9,28,13,10,27,12,27,13,26,11,25,12,25,12,23,15,21,16,0,0,0,0,13,10,19,11,20,13,17,11,20,11,20,13,16,14,16,13,15,12,18,13,17,14,17,15,13,17,13,17,13,19,13,18,17
807315328,3539384,7488,-9360,-14464,-59,94,807315328,-18,-29,-19,-23,-19,-24,-19,-26,-18,-23,-20,-22,-20,-21,-20,-20,-22,-22,-22,-21,-24,-21,-22,-18,-23,-18,-26,-17,-27,-20,-29,-21,-26,-18,-29,-23,-29,-22,-26,-23,-26,-24,-23,-21,-21,-21,-20,-24,-19,-27,-17,-28,0,0,0,0,-3,-27,-3,-27,-4,-22,-2,-28,-3,-27,-5,-23,-5,-22,-6,-22,-5,-26,-6,-26,-7,-25,-9,-22,-11,-22,-12,-21,-13,-22,-12,-27,-15,-23,-16,-24,-16,-30
807315417,3539384,7712,-9424,-14480,-59,94,807315417,-3,31,-5,27,-4,28,-1,30,-4,27,-3,27,-2,27,-2,26,3,29,3,28,5,29,3,27,3,27,4,28,8,30,8,32,5,30,7,33,6,33,4,32,4,33,-1,30,-3,29,-4,29,-4,29,-6,29,0,0,0,0,-11,23,-12,23,-14,18,-12,24,-12,22,-12,18,-13,17,-12,17,-10,23,-9,23,-8,23,-10,20,-8,21,-8,22,-7,23,-5,27,-7,25,-6,27,-3,32
807315537,3539384,7712,-9424,-14480,-59,94,807315537,13,10,-31,11,-26,11,-27,7,-30,11,-27,13,10,-27,9,-27,8,-27,4,-29,3,-28,0,-30,3,-28,2,-28,2,-30,-2,-31,-2,-33,2,-32,-1,-34,1,-34,2,-33,4,-33,8,-31,9,-29,9,-30,8,-29,13,10,-28,0,0,0,0,16,-18,17,-19,18,-14,17,-20,17,-19,18,-15,17,-15,17,-15,14,-20,14,-20,13,-20,14,-19,15,-20,15,-19,14,-22,11,-25,13,-24,13
807315658,3539384,7616,-9344,-14528,-59,94,807315658,-25,7,-29,8,-29,9,-24,8,-26,9,-26,13,10,-26,13,10,-25,11,-24,13,10,-22,11,-21,13,-23,14,-25,15,-24,16,-23,14,-23,14,-26,17,-24,14,-26,13,-25,12,-26,11,-29,11,-28,13,10,-28,9,-26,5,-25,4,0,0,0,0,-21,-2,-20,-3,-25,-3,-20,-2,-20,-2,-24,-1,-24,-2,-23,-2,-20,0,-20,-1,-20,0,-24,2,-25,2,-25,3,-25,5,-23,5,-27,7
807315791,3539384,7616,-9344,-14528,-59,94,807315791,22,18,22,13,23,14,21,15,23,12,22,11,23,11,23,9,24,12,22,13,10,26,9,24,5,25,5,27,4,26,7,29,8,27,5,30,9,28,9,28,11,28,11,25,13,10,25,13,10,25,11,24,14,22,16,0,0,0,0,8,20,8,21,13,10,17,8,21,9,21,11,17,11,17,11,17,13,10,19,11,19,11,18,15,16,15,15,16,15,18,14,16,17,20
807315899,3539384,7616,-9344,-14528,-59,94,807315899,7,-30,11,-28,9,-28,6,-30,9,-27,7,-27,8,-28,7,-28,1,-29,1,-29,0,-30,2,-27,2,-30,2,-30,-3,-32,-3,-32,0,-33,-2,-33,-1,-33,1,-33,2,-33,8,-31,8,-30,9,-30,7,-28,9,-27,0,0,0,0,14,-20,14,-20,17,-16,15,-20,15,-20,17,-16,17,-16,16,-16,13,-21,11,-21,11,-21,14,-19,14,-20,12,-21,13,-23,13,10,-26,12,-25,12,-26,9
