local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
834179035,30410266,368,64,96,-53,94,834179035,17,26,17,21,18,22,17,23,17,18,17,18,17,19,17,17,19,20,20,18,22,16,21,13,22,13,23,13,23,17,24,17,24,14,25,18,24,19,22,20,23,21,19,20,19,18,18,18,16,21,14,22,0,0,0,0,5,25,4,25,7,20,6,25,7,25,8,20,8,21,8,20,7,23,7,24,8,23,13,10,20,11,20,12,20,13,21,14,23,16,20,17,21,17
834179779,30410623,464,192,192,-53,94,834179779,27,-1,31,-3,31,-3,27,-3,29,-4,29,-4,29,-4,28,-4,25,-4,24,-6,24,-10,25,-11,26,-12,27,-12,25,-11,26,-11,29,-13,27,-10,28,-8,28,-6,28,-5,30,-5,29,-5,29,-5,25,-2,24,0,0,0,0,0,21,8,21,8,24,8,22,6,22,6,25,6,25,5,24,6,22,4,22,4,21,4,26,2,27,3,27,2,28,1,25,1,30,-3,31,-3,28,-1
834179889,30410623,304,80,64,-53,94,834179889,18,-24,20,-22,20,-23,16,-24,19,-22,17,-22,17,-23,17,-23,12,-24,11,-23,13,10,-25,13,-24,12,-25,12,-27,8,-27,8,-29,11,-28,13,10,-28,11,-28,12,-27,12,-27,16,-25,17,-23,18,-22,16,-21,17,-19,0,0,0,0,20,-12,20,-13,23,-8,21,-13,21,-12,23,-9,22,-9,21,-10,19,-15,19,-15,18,-15,21,-14,21,-15,20,-15,21,-18,18,-19,22,-20,22,-20
834179968,30410623,304,80,64,-53,94,834179968,-19,-25,-21,-20,-22,-22,-20,-23,-20,-21,-21,-19,-21,-18,-20,-17,-22,-19,-21,-18,-24,-18,-22,-13,-24,-13,-25,-14,-25,-16,-27,-17,-26,-13,-28,-18,-27,-19,-25,-19,-25,-20,-22,-18,-21,-18,-21,-19,-18,-22,-16,-23,0,0,0,0,-7,-25,-7,-26,-9,-22,-7,-27,-8,-26,-9,-22,-9,-22,-9,-21,-10,-24,-10,-24,-11,-24,-14,-22,-15,-21,-15,-21,-16,-21,-16,-24,-19,-21,-20,-22,-19,-26
834180066,30410623,304,80,64,-53,94,834180066,-17,24,-20,22,-20,23,-16,24,-19,22,-18,22,-17,22,-16,22,-12,24,-11,24,-10,25,-12,24,-12,25,-11,26,-8,27,-8,28,-12,28,-10,28,-11,28,-12,26,-12,26,-17,24,-18,23,-18,22,-16,20,-17,19,0,0,0,0,-20,13,-20,13,-23,9,-21,13,-21,14,-23,13,10,-23,13,10,-22,13,10,-19,15,-19,15,-18,15,-21,15,-21,16,-21,16,-20,18,-19,20,-22,20,-21
834180131,30410623,304,80,64,-53,94,834180131,0,33,0,29,0,29,1,31,0,27,2,27,2,26,3,26,5,29,6,28,8,28,6,25,7,25,8,26,11,29,11,29,9,28,13,10,30,13,10,31,8,30,7,31,3,28,1,27,0,27,0,28,-2,28,0,0,0,0,-8,26,-9,26,-10,21,-10,26,-9,26,-9,21,-9,21,-9,21,-7,26,-7,26,-6,26,-6,23,-4,23,-4,24,-3,26,-2,30,-3,27,-2,29
834180235,30410623,480,176,80,-53,94,834180235,12,28,12,23,13,24,13,24,12,22,12,21,12,21,12,20,14,23,15,21,18,20,16,16,17,17,19,18,19,20,21,22,19,18,20,23,18,24,16,24,16,25,13,22,12,21,13,21,11,24,9,24,0,0,0,0,1,25,0,25,2,20,3,25,2,25,4,20,4,21,3,21,3,24,4,25,4,23,6,21,6,21,7,21,8,22,9,25,11,22,12,23,12,27
834180361,30410623,480,176,80,-53,94,834180361,25,3,26,1,30,2,24,4,30,1,28,-3,26,-5,25,-5,22,-5,22,-1,26,1,25,-2,23,-2,25,-6,24,-5,27,-5,26,-7,29,-5,27,-7,24,-7,25,-5,25,-6,25,-1,27,4,22,7,21,7,0,0,0,0,18,8,18,7,19,11,16,16,17,15,19,12,17,12,19,9,18,9,20,13,10,18,8,25,8,25,3,24,2,25,0,22,6,28,8,26,7,26
834180456,30410623,480,176,80,-53,94,834180456,16,-26,17,-25,17,-25,14,-27,16,-24,16,-24,15,-25,15,-24,13,10,-26,9,-26,7,-28,9,-26,8,-27,9,-27,5,-29,5,-30,8,-30,7,-30,8,-29,13,10,-28,13,10,-29,14,-27,15,-25,15,-24,13,-23,14,-22,0,0,0,0,19,-15,20,-16,22,-12,19,-16,19,-16,21,-13,20,-13,20,-13,17,-19,17,-18,16,-19,18,-17,20,-17,19,-18,19,-20,16,-23,19,-23,19
834180572,30410623,304,112,128,-53,94,834180572,14,-27,9,-25,13,10,-26,11,-28,9,-24,7,-25,7,-23,6,-24,7,-27,6,-27,4,-29,2,-24,1,-25,1,-26,1,-29,2,-31,0,-28,3,-31,4,-31,6,-30,6,-30,6,-26,6,-25,7,-25,13,10,-25,11,-24,0,0,0,0,19,-16,20,-16,16,-15,20,-17,19,-17,15,-15,15,-16,14,-16,17,-19,17,-18,16,-20,13,-19,13,-20,11,-20,11,-21,15,-24,11,-24,12,-25
