local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
828706112,24939573,-8368,448,-25232,-59,94,828706112,-28,-2,-32,2,-32,2,-29,0,-29,2,-30,4,-30,5,-29,5,-26,4,-26,4,-26,5,-26,9,-26,13,10,-26,13,10,-26,7,-26,8,-29,12,-26,7,-26,7,-26,6,-26,5,-28,6,-27,5,-26,3,-24,1,-23,-1,0,0,0,0,-23,-9,-23,-8,-26,-8,-23,-10,-23,-9,-25,-8,-26,-8,-24,-7,-24,-7,-22,-7,-24,-7,-26,-4,-27,-3,-28,-2,-30,-1,-28,-4,-30,0,-32,1
828706243,24939823,-8368,448,-25232,-60,94,828706243,15,30,11,23,12,28,14,26,13,26,15,23,15,21,14,21,18,22,17,21,18,24,15,19,15,18,19,19,20,20,24,23,17,18,23,24,22,22,19,21,20,23,14,18,12,19,11,22,11,24,9,23,0,0,0,0,5,27,5,27,2,21,1,29,2,28,0,23,1,23,1,24,5,25,5,29,4,24,6,25,8,23,8,24,9,22,9,27,9,26,13,10,27,13
828706375,24939948,-8368,448,-25232,-59,94,828706375,21,20,23,16,24,16,21,18,22,14,22,14,22,14,22,12,22,15,22,13,24,12,23,8,24,7,25,7,24,11,26,11,25,7,25,12,24,13,24,14,22,14,22,12,20,11,20,12,17,15,16,16,0,0,0,0,11,20,11,22,14,18,12,22,12,22,14,18,14,18,14,18,12,21,13,20,13,20,17,17,17,16,18,17,19,16,18,19,22,16,23,17,22,21
828706505,24940073,-8368,448,-25232,-59,94,828706505,-7,-31,-6,-27,-7,-27,-8,-30,-7,-28,-9,-26,-9,-25,-9,-24,-12,-25,-13,-25,-13,-27,-10,-22,-11,-22,-13,-22,-16,-24,-18,-24,-15,-22,-17,-28,-15,-27,-15,-26,-14,-26,-11,-22,-10,-22,-7,-23,-7,-25,-7,-25,0,0,0,0,2,-27,2,-26,4,-23,5,-28,4,-27,5,-22,4,-21,2,-23,1,-27,1,-27,0,-26,1,-25,-2,-25,-3,-24,-3,-24,-4,-29,-2,-28,-4,-28,-5,-33
828706637,24940259,-8368,448,-25232,-60,94,828706637,-29,8,-26,11,-32,12,-25,13,10,-30,12,-26,9,-27,13,10,-29,13,10,-23,11,-20,11,-19,16,-21,16,-21,17,-25,18,-15,16,-21,19,-20,18,-23,17,-21,12,-23,13,-23,12,-25,13,-23,12,-22,12,-21,9,-22,7,0,0,0,0,-23,-2,-24,0,-25,-2,-24,1,-26,0,-26,0,-26,1,-28,-1,-21,4,-25,2,-20,2,-28,4,-27,3,-28,3,-30,6,-24,4,-29,13,10
828706769,24940436,-8368,448,-25232,-60,94,828706769,-18,23,-23,23,-22,23,-17,24,-20,23,-19,23,-19,23,-17,22,-13,23,-12,23,-11,24,-13,24,-13,25,-13,26,-8,26,-8,26,-12,28,-10,25,-10,25,-11,24,-12,24,-16,23,-17,21,-17,20,-14,18,-15,17,0,0,0,0,-21,14,-20,14,-24,12,-21,14,-22,13,-24,11,-24,11,-23,11,-20,16,-20,14,-19,15,-22,15,-23,16,-22,16,-22,19,-19,20,-23,21,-24,22,-20,23
828706925,24940560,-8368,448,-25232,-60,94,828706925,-18,26,-21,23,-20,24,-16,25,-19,22,-19,23,-17,23,-16,22,-12,24,-10,24,-10,26,-13,23,-12,24,-12,26,-8,27,-7,28,-11,26,-9,28,-9,27,-10,26,-11,25,-14,23,-15,21,-17,20,-14,19,-15,18,0,0,0,0,-19,16,-20,16,-22,11,-22,15,-22,16,-24,11,-23,12,-22,12,-19,16,-21,17,-18,16,-21,16,-21,18,-21,18,-20,19,-17,21,-23,21,-21,22,-19,24
828707212,24940685,-8224,464,-25120,-59,94,828707212,27,1,29,-1,30,-1,25,-1,28,-1,28,-3,28,-3,27,-4,24,-4,21,-4,24,-6,25,-6,26,-8,27,-9,22,-7,24,-8,26,-9,25,-7,25,-6,24,-5,24,-4,26,-4,25,-3,25,-1,21,1,21,2,0,0,0,0,20,5,21,6,23,8,20,7,21,7,24,8,24,8,24,8,20,5,22,6,20,4,26,4,26,3,26,3,27,1,24,3,29,2,30,1,27,1
828707527,6384847373,-24576,-16161,-24576,-99,24260,212149126912,0,4,-32,7,-29,7,-30,3,-32,6,-29,5,-28,4,-28,3,-27,-1,-28,-1,-28,-5,-28,-1,-26,-2,-27,-3,-27,-6,-28,-6,-29,-4,-29,-6,-30,-5,-30,-2,-29,-2,-29,3,-27,3,-26,3,-25,2,-25,3,-25,0,0,0,0,13,10,-25,12,-25,13,-20,11,-25,12,-25,13,-21,13,-20,12,-20,13,10,-26,9,-25,9,-25,13,10,-23,13,10,-25,9,-24,13,10,-26,6,-29
828707727,24941049,-8256,432,-25120,-60,94,828707727,27,-5,31,-7,31,-7,27,-6,29,-7,28,-8,28,-9,27,-9,23,-9,23,-10,22,-11,24,-13,24,-13,24,-15,21,-13,22,-14,25,-16,23,-12,23,-13,22,-11,23,-11,25,-11,25,-9,24,-8,21,-6,21,-4,0,0,0,0,22,2,23,2,27,3,24,3,24,2,27,3,26,3,25,3,23,1,23,1,22,1,27,-1,27,-2,28,-3,28,-4,26,-3,30,-5,31,-6,28,-4
