local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
807165978,3392322,7664,-9376,-14464,-59,94,807165978,-26,-12,-29,-8,-28,-7,-29,-10,-28,-8,-28,-3,-27,-5,-26,-4,-28,-5,-27,-5,-29,-4,-27,-2,-28,1,-29,1,-30,-1,-32,-2,-33,1,-31,-3,-32,-4,-31,-5,-32,-6,-29,-5,-30,-6,-29,-7,-27,-11,-26,-12,0,0,0,0,-17,-17,-16,-19,-18,-15,-16,-19,-16,-18,-18,-14,-18,-14,-17,-12,-18,-18,-17,-17,-19,-15,-20,-11,-19,-10,-21,-10,-23,-9,-23,-14,-26,-9,-25,-7,-26,-12
807166081,3392322,7664,-9376,-14464,-59,94,807166081,14,21,20,16,23,15,21,20,20,18,16,19,15,18,17,17,16,18,19,19,25,14,21,13,10,22,9,22,12,25,12,26,13,28,12,27,18,23,19,21,21,20,22,19,18,19,19,22,18,18,19,15,21,0,0,0,0,1,21,3,22,5,20,5,23,5,22,8,18,8,16,7,17,8,21,9,20,13,10,19,11,17,13,10,20,8,19,11,17,11,22,18,17,19
807166375,3392603,7792,-9248,-14480,-59,94,807166375,-4,-32,-4,-27,-5,-28,-4,-31,-3,-27,-3,-25,-5,-26,-5,-27,-9,-29,-9,-28,-11,-27,-9,-22,-10,-25,-11,-26,-15,-28,-15,-29,-13,-28,-15,-29,-13,-30,-12,-30,-11,-31,-7,-29,-6,-28,-5,-28,-5,-29,-3,-29,0,0,0,0,8,-24,8,-24,9,-19,7,-24,9,-23,7,-19,7,-19,7,-19,7,-24,4,-24,4,-25,4,-22,4,-22,3,-22,2,-25,-1,-29,0,-24,0,-28,0,-30
807166551,3392743,7792,-9248,-14480,-59,94,807166551,-5,-31,-7,-28,-6,-27,-9,-29,-6,-27,-5,-25,-6,-27,-8,-26,-9,-27,-11,-28,-15,-28,-12,-25,-12,-25,-14,-25,-16,-29,-18,-29,-14,-28,-16,-30,-13,-31,-12,-31,-11,-32,-6,-30,-7,-29,-7,-28,-6,-30,-3,-30,0,0,0,0,4,-25,4,-25,5,-21,4,-27,3,-25,4,-20,4,-20,4,-20,2,-26,1,-26,1,-25,0,-21,2,-22,1,-23,-1,-23,-2,-29,-6,-25,-4,-25,-5,-30
807166736,3392911,7744,-9456,-14544,-59,94,807166736,-10,-31,-9,-27,-11,-26,-10,-28,-9,-27,-10,-26,-11,-25,-11,-26,-14,-28,-15,-24,-17,-25,-14,-21,-16,-22,-17,-22,-20,-25,-21,-27,-19,-24,-20,-27,-19,-28,-18,-29,-17,-30,-13,-27,-10,-26,-10,-28,-10,-29,-8,-29,0,0,0,0,2,-26,3,-25,3,-21,3,-26,3,-24,3,-21,2,-21,2,-20,0,-26,-2,-25,0,-25,-2,-22,-3,-22,-2,-22,-5,-23,-7,-28,-6,-25,-6,-26,-9,-30
807166868,3393050,7744,-9456,-14544,-59,94,807166868,26,15,22,14,25,18,25,13,23,15,23,13,25,14,22,12,26,13,10,27,7,29,8,26,8,28,7,29,8,30,5,33,5,28,8,33,7,32,7,31,13,10,31,13,10,28,13,23,14,25,15,26,15,24,17,0,0,0,0,15,20,16,20,9,18,16,19,14,20,9,19,11,19,11,19,16,16,17,19,15,16,15,17,16,17,17,16,18,15,21,16,17,18,21
807167150,3393159,7744,-9456,-14544,-59,94,807167150,28,-1,33,-1,29,0,28,1,29,-3,30,-4,28,-5,27,-3,26,-5,26,-6,25,-8,28,-9,28,-11,28,-10,27,-8,27,-9,31,-11,28,-7,30,-6,30,-6,30,-4,32,-4,32,-3,30,-2,27,1,26,2,0,0,0,0,19,8,19,13,10,24,9,20,7,20,8,23,8,24,8,23,9,19,6,19,6,20,6,24,4,24,3,25,2,28,3,23,2,28,1,32,0,27
807167372,3394068,7776,-9360,-14448,-59,94,807167372,21,19,23,18,24,14,23,19,23,15,24,16,22,13,22,13,25,16,23,13,25,12,25,8,27,7,29,8,26,12,29,11,30,9,28,13,27,15,27,15,27,16,27,14,26,14,25,14,23,19,20,19,0,0,0,0,8,22,7,22,11,20,7,21,13,10,23,12,20,12,20,13,19,9,20,11,19,12,19,15,18,17,16,17,17,18,17,16,19,21,16,23,16,21
807167524,3394257,7776,-9360,-14448,-59,94,807167524,-16,-26,-16,-25,-14,-23,-19,-26,-14,-23,-15,-21,-14,-22,-14,-22,-19,-21,-21,-21,-21,-19,-20,-18,-21,-18,-21,-18,-24,-21,-26,-19,-23,-20,-25,-21,-24,-22,-22,-23,-22,-24,-17,-25,-16,-24,-17,-24,-17,-25,-15,-26,0,0,0,0,-3,-24,-4,-25,-1,-21,-5,-26,-5,-25,-4,-21,-3,-21,-3,-20,-6,-25,-7,-23,-8,-24,-5,-21,-7,-22,-8,-20,-9,-24,-12,-26,-12,-22,-14,-24,-15,-24
807167626,3394257,7776,-9360,-14448,-59,94,807167626,-24,13,10,-30,11,-29,11,-25,13,10,-27,12,-27,11,-26,12,-25,14,-24,12,-22,14,-22,15,-22,15,-25,18,-25,19,-22,17,-22,17,-25,20,-24,18,-24,16,-24,15,-26,15,-28,14,-28,13,-28,11,-26,8,-26,7,0,0,0,0,-21,-2,-21,-2,-24,-3,-21,-2,-22,-2,-26,-2,-24,-2,-25,-2,-21,0,-22,2,-20,1,-25,3,-26,4,-26,5,-25,6,-23,5,-27,6,-28,13
