local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
818244258,14465653,-10192,-2912,-24400,-60,94,818244258,-21,-23,-23,-19,-23,-19,-23,-22,-22,-18,-24,-17,-24,-18,-23,-16,-24,-18,-25,-18,-27,-17,-24,-13,-26,-13,-27,-13,-30,-16,-31,-15,-29,-14,-30,-18,-30,-19,-28,-20,-28,-20,-24,-18,-22,-19,-21,-20,-20,-23,-18,-23,0,0,0,0,-2,-26,-2,-26,-3,-22,-2,-26,-2,-25,-5,-20,-5,-20,-6,-19,-6,-23,-8,-23,-8,-22,-11,-19,-12,-18,-14,-18,-16,-18,-15,-23,-18,-19,-20,-20,-19,-24
818244416,14465653,-10192,-2912,-24400,-60,94,818244416,-17,28,-20,22,-21,25,-14,24,-19,23,-15,24,-16,24,-16,25,-11,29,-10,25,-12,27,-14,25,-13,27,-14,30,-9,28,-11,32,-13,28,-11,31,-11,31,-12,28,-14,29,-20,27,-19,24,-21,21,-20,20,-20,18,0,0,0,0,-22,11,-21,13,10,-22,5,-21,8,-22,9,-22,5,-22,6,-22,7,-18,12,-20,13,-16,13,-20,12,-18,13,-18,15,-18,17,-17,20,-20,17,-21,21,-17
818244638,14466075,-10096,-3008,-24448,-59,94,818244638,25,-7,28,-9,29,-9,24,-7,27,-9,26,-11,26,-11,26,-11,23,-10,22,-11,22,-13,23,-14,24,-16,26,-18,23,-14,25,-15,26,-17,26,-13,27,-12,26,-11,26,-10,28,-9,27,-9,27,-7,24,-3,25,-2,0,0,0,0,17,7,17,8,21,6,17,6,18,6,22,5,21,4,21,3,17,3,18,2,17,2,22,-1,22,-2,23,-3,24,-4,20,-3,25,-6,27,-7,24,-7
818244732,14466075,-10096,-3008,-24448,-60,94,818244732,-16,-29,-17,-24,-17,-25,-18,-30,-16,-24,-15,-25,-17,-24,-17,-23,-20,-25,-21,-24,-24,-23,-21,-20,-23,-20,-22,-21,-25,-25,-26,-24,-24,-23,-25,-26,-23,-28,-21,-28,-19,-29,-15,-26,-14,-26,-15,-26,-14,-28,-11,-28,0,0,0,0,2,-26,2,-26,1,-21,0,-26,-1,-26,-1,-20,-2,-20,-2,-19,-4,-26,-4,-24,-5,-24,-7,-20,-6,-21,-7,-21,-9,-21,-11,-27,-13,-22,-15,-23,-16,-28
818244961,14466544,-10208,-3200,-24560,-59,94,818244961,-28,-4,-31,-2,-33,-2,-29,-3,-32,-1,-31,0,-31,-1,-30,1,-28,-1,-28,0,-29,3,-29,6,-31,6,-32,7,-30,5,-32,5,-33,7,-32,3,-32,0,-31,-2,-31,-2,-32,0,-31,-2,-30,-3,-27,-7,-26,-9,0,0,0,0,-15,-17,-15,-16,-19,-16,-15,-16,-16,-16,-20,-14,-20,-13,-20,-12,-17,-12,-18,-11,-17,-11,-23,-9,-23,-7,-25,-8,-26,-6,-24,-7,-29,-4,-29,-4,-27,-6
818245043,14466544,-10208,-3200,-24560,-59,94,818245043,-18,24,-21,23,-20,23,-18,26,-19,24,-19,24,-19,24,-18,24,-14,26,-13,26,-12,28,-14,26,-14,28,-14,29,-11,30,-11,30,-15,32,-14,29,-15,30,-16,27,-17,27,-21,26,-22,24,-22,23,-18,20,-20,17,0,0,0,0,-22,6,-22,7,-25,3,-21,8,-21,7,-24,4,-23,5,-21,6,-19,12,-18,11,-18,13,-21,11,-21,12,-21,14,-21,16,-18,18,-21,18,-21,20,-18,22
818245147,14466544,-10144,-3392,-24560,-59,94,818245147,23,15,27,12,27,13,25,15,27,11,27,13,10,28,9,28,9,27,13,10,27,13,10,27,13,10,27,6,28,6,29,5,31,8,31,8,31,6,31,11,31,12,29,13,29,14,28,12,26,13,24,15,21,18,19,19,0,0,0,0,8,22,8,22,13,10,19,7,21,7,21,11,17,11,17,11,16,13,10,18,13,10,18,11,17,17,13,18,14,20,13,21,12,18
818245295,14466544,-10144,-3392,-24560,-59,94,818245295,0,-34,3,-31,3,-31,0,-33,3,-30,1,-30,0,-31,-1,-30,-5,-32,-5,-31,-7,-32,-5,-30,-6,-31,-7,-33,-10,-33,-11,-34,-7,-34,-9,-34,-8,-35,-6,-34,-5,-34,1,-34,2,-31,3,-31,2,-30,4,-29,0,0,0,0,15,-20,15,-21,17,-15,14,-20,14,-20,16,-15,14,-16,13,-16,9,-22,9,-23,8,-23,13,10,-20,9,-21,8,-21,7,-24,3,-27,5,-26,5,-29,2
818245584,14467130,-10080,-3472,-24672,-59,94,818245584,-20,-24,-20,-19,-23,-20,-21,-22,-20,-19,-21,-18,-21,-17,-22,-17,-23,-19,-23,-18,-25,-17,-23,-14,-25,-15,-27,-14,-27,-17,-30,-18,-25,-15,-29,-19,-27,-19,-25,-20,-26,-22,-21,-20,-18,-19,-19,-20,-17,-24,-16,-23,0,0,0,0,-2,-24,-1,-25,-3,-19,-2,-25,-2,-24,-4,-19,-4,-20,-6,-19,-6,-22,-7,-22,-7,-22,-10,-18,-11,-17,-12,-17,-14,-19,-13,-22,-16,-18,-18,-20,-18,-24
818245745,14467130,-10208,-3632,-24768,-59,94,818245745,11,30,13,26,13,26,15,29,13,25,14,25,14,25,14,24,16,27,18,25,21,25,19,22,19,22,20,22,22,26,23,26,20,25,22,28,21,30,18,29,17,31,13,28,11,27,11,27,9,29,7,28,0,0,0,0,-7,26,-6,25,-6,20,-6,26,-5,25,-3,20,-2,20,-1,19,-1,25,-1,24,0,24,3,20,3,21,5,21,5,22,7,27,9,23,11,25,11,30
