local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
818049556,14284883,-8096,-7328,-24336,-59,94,818049556,-15,27,-18,26,-18,26,-15,28,-17,25,-16,25,-15,26,-14,27,-11,29,-10,29,-9,30,-11,28,-11,30,-11,32,-8,32,-7,33,-12,34,-9,32,-11,32,-12,31,-13,31,-19,29,-19,27,-20,24,-17,23,-19,21,0,0,0,0,-22,9,-22,9,-25,4,-22,9,-21,13,10,-23,5,-22,6,-21,6,-20,13,-18,13,-18,14,-20,13,10,-19,14,-19,15,-19,16,-17,21,-19,19,-18,22
818049644,14284883,-8096,-7328,-24336,-59,94,818049644,-22,-20,-23,-15,-26,-17,-22,-18,-24,-15,-25,-14,-24,-14,-24,-13,-25,-16,-24,-14,-27,-13,-26,-10,-27,-9,-30,-10,-27,-13,-31,-14,-28,-11,-31,-15,-29,-16,-27,-18,-28,-18,-26,-17,-23,-15,-23,-18,-21,-21,-19,-21,0,0,0,0,-4,-23,-4,-23,-6,-19,-4,-23,-6,-22,-9,-19,-8,-18,-9,-18,-7,-20,-8,-21,-8,-19,-13,-17,-14,-15,-16,-16,-17,-16,-14,-18,-19,-15,-21,-15,-20,-20
818049747,14284883,-8096,-7328,-24336,-59,94,818049747,13,-24,16,-21,17,-22,13,-24,16,-22,15,-23,15,-23,14,-24,11,-25,9,-25,8,-27,11,-25,11,-27,11,-28,8,-28,9,-30,11,-29,11,-30,12,-29,13,-27,13,-27,19,-24,18,-23,19,-21,16,-20,18,-18,0,0,0,0,19,-8,19,-8,20,-4,18,-9,18,-9,19,-4,19,-5,19,-6,16,-11,16,-11,15,-12,17,-10,18,-12,17,-12,18,-15,14,-17,18,-17,17,-18,15,-22
818049845,14284883,-8096,-7328,-24336,-59,94,818049845,25,-8,29,-10,28,-10,25,-11,27,-11,27,-12,26,-13,27,-12,23,-12,23,-13,23,-15,24,-16,25,-18,27,-18,24,-17,25,-17,28,-20,27,-15,27,-15,27,-13,28,-11,30,-11,31,-9,29,-7,26,-4,26,-1,0,0,0,0,17,6,18,7,22,8,18,6,18,6,21,6,22,6,21,5,18,2,17,2,18,1,22,1,23,-1,23,-2,24,-4,21,-3,26,-6,28,-7,24,-7
818049934,14284883,-7696,-7504,-24560,-59,94,818049934,-27,5,-33,7,-30,7,-29,6,-30,8,-30,9,-30,13,10,-28,11,-26,11,-27,11,-27,12,-28,14,-29,16,-29,16,-29,14,-28,15,-33,18,-30,13,-31,12,-31,13,10,-32,13,10,-33,9,-34,8,-33,5,-29,1,-28,-1,0,0,0,0,-19,-12,-19,-10,-23,-12,-18,-12,-19,-11,-23,-10,-22,-9,-22,-8,-20,-7,-18,-6,-20,-6,-24,-3,-25,-2,-26,0,-27,1,-24,1,-29,3,-29
818050031,14284883,-7696,-7504,-24560,-59,94,818050031,22,18,24,14,25,13,24,16,25,12,25,11,25,11,26,11,26,12,27,12,28,13,10,26,7,29,6,30,6,31,9,32,13,10,32,7,32,12,32,12,31,15,31,16,27,14,26,15,26,16,24,19,21,20,0,0,0,0,3,23,3,24,5,21,4,24,4,23,8,19,8,18,9,18,7,20,8,20,8,19,13,16,15,15,15,15,17,15,16,19,20,14,21,15
818050151,14284883,-7392,-7472,-24688,-60,94,818050151,-7,-31,-7,-28,-7,-27,-10,-32,-7,-27,-9,-27,-9,-28,-10,-27,-13,-29,-15,-30,-18,-29,-14,-27,-15,-27,-16,-27,-20,-29,-20,-30,-18,-31,-19,-32,-18,-33,-15,-34,-14,-35,-9,-33,-7,-33,-7,-32,-7,-32,-4,-32,0,0,0,0,11,-23,11,-23,11,-18,13,10,-24,13,10,-24,9,-19,8,-18,8,-18,6,-24,5,-24,3,-24,3,-21,3,-21,2,-21,1,-23,-1,-27,-3,-25,-3,-26
818050284,14284883,-7392,-7472,-24688,-60,94,818050284,-25,3,-28,6,-29,6,-25,4,-28,8,-27,8,-26,8,-26,9,-25,8,-24,9,-25,11,-24,14,-26,15,-27,16,-26,12,-27,14,-28,16,-29,13,-31,11,-31,8,-30,8,-31,8,-29,8,-30,7,-28,2,-28,0,0,0,0,0,-17,-12,-17,-12,-20,-10,-18,-11,-18,-10,-20,-8,-21,-8,-20,-7,-18,-8,-18,-7,-18,-6,-22,-3,-22,-2,-23,-1,-24,1,-21,-1,-25,3,-26,5,-25,2
818050368,14284883,-7392,-7472,-24688,-60,94,818050368,-21,-24,-18,-21,-20,-23,-22,-22,-19,-22,-20,-20,-21,-20,-21,-20,-26,-20,-26,-18,-29,-17,-24,-16,-26,-16,-29,-17,-31,-16,-34,-18,-29,-17,-33,-20,-33,-21,-30,-22,-31,-22,-24,-24,-22,-24,-22,-25,-22,-25,-20,-27,0,0,0,0,-1,-27,0,-26,1,-21,-1,-27,-1,-26,1,-21,0,-20,-1,-21,-5,-24,-6,-25,-7,-23,-6,-21,-6,-21,-8,-21,-9,-21,-13,-24,-12,-21,-15,-21,-19,-25
818050499,14284883,-7248,-7824,-24784,-60,94,818050499,19,-15,22,-16,22,-17,19,-17,20,-17,21,-17,21,-18,20,-18,17,-19,15,-19,14,-22,17,-23,17,-25,18,-25,16,-23,16,-25,19,-26,19,-24,20,-23,21,-21,21,-21,26,-20,25,-18,25,-19,22,-15,24,-13,0,0,0,0,19,0,19,1,22,1,18,-1,18,-1,22,0,22,-1,21,-2,18,-4,17,-4,16,-5,20,-5,21,-5,21,-7,21,-8,17,-10,21,-13,22,-13,19,-14
