local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
817646876,13876226,-3248,-11648,-17216,-61,94,817646876,-23,8,-26,9,-26,11,-22,13,10,-25,11,-24,11,-25,12,-24,12,-22,13,-20,13,-20,17,-21,17,-22,19,-23,20,-20,18,-22,21,-25,22,-24,19,-25,19,-26,16,-26,16,-30,15,-29,13,-29,14,-27,13,10,-27,8,0,0,0,0,-20,-7,-20,-7,-23,-8,-20,-5,-20,-5,-24,-7,-23,-6,-22,-6,-19,-3,-20,-2,-18,-2,-23,-1,-23,0,-23,0,-24,2,-21,3,-24,5,-26,7
817646944,13876226,-3248,-11648,-17216,-61,94,817646944,-11,24,-11,23,-11,23,-8,26,-10,24,-11,24,-10,25,-10,24,-5,26,-4,26,-1,28,-4,26,-3,28,-3,28,2,30,1,32,-3,32,-1,33,-3,33,-5,32,-7,31,-11,31,-12,30,-12,29,-11,28,-13,26,0,0,0,0,-20,13,-20,13,-21,8,-19,13,-19,13,-20,9,-19,9,-19,9,-17,15,-15,15,-15,15,-16,13,-17,14,-17,15,-16,17,-14,20,-15,20,-13,21,-12,22
817647038,13876226,-2576,-11600,-17376,-61,94,817647038,22,-10,24,-10,25,-12,22,-11,24,-13,24,-14,24,-14,23,-15,20,-16,19,-16,19,-18,21,-19,22,-20,22,-22,20,-22,20,-23,22,-25,22,-22,22,-21,23,-20,24,-19,27,-19,27,-17,28,-17,26,-13,26,-11,0,0,0,0,20,6,19,6,22,8,20,5,20,5,23,7,23,6,22,5,19,2,19,2,19,1,23,1,23,-1,23,-2,24,-3,21,-4,25,-5,25,-7,23,-7
817647116,13876226,-2576,-11600,-17376,-61,94,817647116,-25,-10,-28,-6,-28,-5,-27,-6,-27,-5,-28,-4,-27,-3,-27,-3,-27,-3,-28,-3,-28,0,-28,2,-28,4,-30,5,-32,4,-31,4,-35,6,-32,1,-34,0,-34,-2,-34,-3,-34,-1,-34,-4,-33,-4,-30,-9,-29,-11,0,0,0,0,-12,-21,-12,-20,-14,-20,-12,-19,-12,-20,-15,-18,-16,-18,-15,-16,-15,-17,-15,-16,-16,-17,-19,-13,-21,-13,-20,-13,-22,-11,-20,-14,-25,-10,-26,-9,-23,-12
817647217,13876226,-2576,-11600,-17376,-61,94,817647217,20,16,21,12,24,13,20,13,24,12,24,13,10,24,13,10,24,9,24,11,23,13,10,26,8,25,5,27,6,30,5,26,7,31,8,29,6,31,13,10,31,11,29,12,30,13,28,12,27,12,27,15,24,18,23,20,0,0,0,0,5,22,6,21,8,20,5,22,7,22,13,10,19,13,10,19,11,18,8,18,8,20,8,17,14,17,14,15,14,15,16,16,14,17
817647298,13876226,-2576,-11600,-17376,-61,94,817647298,21,-15,23,-15,23,-17,19,-18,23,-19,22,-19,20,-19,21,-20,17,-21,16,-21,15,-25,16,-24,16,-25,18,-27,13,-27,15,-30,18,-30,17,-29,18,-29,20,-28,20,-26,24,-25,25,-24,25,-24,23,-21,24,-18,0,0,0,0,22,-1,22,-1,24,3,23,-2,22,-2,24,2,24,1,23,0,20,-5,20,-5,20,-6,23,-4,24,-5,24,-7,24,-9,20,-10,23,-11,25,-13,23,-15
817647430,13876226,-2112,-11696,-17392,-61,94,817647430,22,-11,25,-13,23,-12,22,-14,24,-12,23,-14,22,-16,21,-16,18,-17,19,-18,18,-19,20,-20,21,-20,19,-22,18,-23,19,-23,22,-26,20,-22,20,-24,21,-23,22,-22,25,-21,28,-20,28,-17,26,-14,25,-12,0,0,0,0,20,3,21,3,23,6,20,3,21,3,23,6,22,5,21,3,20,0,20,0,19,-2,22,-2,23,-3,23,-4,23,-6,21,-7,24,-7,26,-7,22,-9
817647533,13876226,-2112,-11696,-17392,-61,94,817647533,5,-29,6,-26,5,-27,3,-30,4,-27,3,-27,2,-28,1,-27,-3,-30,-3,-29,-6,-30,-4,-29,-4,-29,-5,-30,-9,-32,-8,-34,-6,-34,-8,-35,-6,-35,-5,-35,-4,-35,1,-34,2,-34,3,-33,3,-33,5,-33,0,0,0,0,17,-20,19,-20,18,-15,17,-20,18,-20,17,-14,17,-15,15,-15,15,-20,13,-20,13,-20,12,-18,12,-19,12,-20,11,-22,9,-25,9,-24,9,-24,8,-29
817647651,13876226,-1504,-11776,-17536,-61,94,817647651,-24,5,-27,6,-27,5,-24,6,-26,7,-25,8,-26,8,-25,9,-22,13,10,-22,13,10,-22,13,-23,14,-24,15,-25,17,-22,16,-24,17,-26,18,-25,16,-25,14,-26,13,-27,13,-30,12,-30,13,10,-30,11,-27,7,-27,5,0,0,0,0,-20,-9,-19,-8,-22,-10,-19,-8,-20,-7,-22,-10,-22,-8,-21,-9,-20,-6,-19,-5,-19,-4,-23,-4,-23,-3,-24,-2,-24,-1,-22,-1,-25,2,-26
817647786,13876226,-1504,-11776,-17536,-61,94,817647786,24,-2,26,-3,27,-4,24,-5,27,-5,26,-5,26,-7,25,-7,23,-7,22,-8,23,-11,25,-12,26,-12,27,-14,24,-13,25,-14,29,-15,27,-13,28,-12,28,-10,29,-9,31,-8,31,-7,31,-6,28,-3,28,0,0,0,0,0,17,9,19,9,21,11,18,8,18,8,22,13,10,21,9,20,9,19,6,19,6,18,5,22,5,23,4,23,3,24,2,21,2,25,0,26,0,25
817647887,13876226,-1504,-11776,-17536,-60,94,817647887,22,-12,25,-13,24,-15,20,-14,22,-14,22,-15,22,-17,21,-16,18,-16,17,-17,17,-19,18,-20,19,-22,19,-23,16,-22,18,-23,21,-24,20,-23,22,-22,21,-20,22,-20,26,-20,26,-18,25,-18,24,-15,24,-13,0,0,0,0,20,-1,20,-1,23,2,20,0,21,-1,23,1,23,0,23,0,20,-3,20,-4,18,-4,22,-4,23,-5,23,-6,23,-8,21,-8,23,-10,24,-11,22,-11
817648002,13876226,-896,-11776,-17696,-60,94,817648002,16,22,19,18,20,16,19,20,19,16,19,15,21,14,20,14,21,15,23,16,24,14,23,13,10,25,13,10,25,13,10,27,14,28,12,28,11,28,15,28,16,27,16,26,18,25,15,24,16,23,17,20,20,18,22,0,0,0,0,1,23,2,23,5,21,1,23,3,24,5,20,5,19,6,18,5,22,6,21,6,21,9,17,13,10,18,11,17,13,17,13,10,21,15
817648116,13876226,-896,-11776,-17696,-60,94,817648116,3,31,-1,24,-1,29,3,27,1,28,3,26,4,26,5,25,8,28,9,25,11,28,13,10,25,13,10,25,11,30,12,26,14,33,11,27,16,33,14,33,13,32,12,33,6,31,5,28,4,31,4,31,2,32,0,0,0,0,-12,24,-12,23,-12,17,-13,24,-11,23,-12,17,-11,17,-11,19,-9,22,-10,24,-7,21,-7,22,-7,21,-5,22,-4,23,-2,25,-4,24,-2,26
817648244,13876226,-304,-11824,-17776,-60,94,817648244,22,-13,25,-14,26,-14,21,-16,24,-15,22,-16,22,-16,21,-17,18,-17,17,-18,18,-20,20,-19,20,-20,19,-23,18,-22,18,-23,21,-24,19,-23,20,-24,20,-22,21,-22,25,-20,25,-19,26,-16,24,-15,24,-12,0,0,0,0,19,-2,20,-2,23,2,21,-1,20,-1,23,1,23,1,22,1,19,-3,18,-3,19,-4,22,-4,22,-5,22,-7,23,-7,21,-9,25,-8,25,-10,22,-12
817648361,13876226,-304,-11824,-17776,-59,94,817648361,-25,6,-28,4,-30,5,-23,5,-26,5,-27,13,10,-27,7,-25,13,10,-25,8,-21,8,-23,9,-26,11,-27,13,-28,16,-23,11,-27,12,-26,16,-26,13,-27,12,-27,11,-28,11,-31,9,-29,9,-29,7,-28,3,-28,2,0,0,0,0,-20,-6,-19,-8,-22,-7,-18,-7,-19,-8,-23,-9,-23,-7,-24,-6,-19,-5,-20,-6,-19,-4,-23,-4,-24,-1,-25,0,-26,0,-21,1,-26,2,-28,3
