local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
829101141,25330461,-7072,-5536,-23584,-60,94,829101141,-26,11,-29,13,10,-29,11,-24,11,-27,11,-26,13,10,-26,11,-24,11,-20,11,-20,12,-20,14,-22,15,-21,15,-22,17,-18,14,-19,16,-22,16,-20,16,-19,14,-19,13,-19,12,-23,11,-22,9,-21,13,10,-18,8,-18,8,0,0,0,0,-27,3,-26,4,-29,1,-27,3,-27,3,-29,2,-28,1,-28,2,-25,4,-25,5,-24,4,-28,5,-28,5,-27,7,-28,8,-26,8,-29,13,10
829101262,25330461,-6768,-5408,-23712,-60,94,829101262,17,27,15,20,16,22,18,24,15,20,14,20,14,18,14,18,16,19,18,18,21,18,17,13,17,13,18,14,21,15,23,15,18,13,22,17,20,18,19,17,18,18,14,15,13,13,14,13,13,18,12,16,0,0,0,0,6,28,7,29,5,24,8,29,7,28,6,24,7,23,7,22,9,25,9,26,13,10,24,13,10,22,11,22,13,10,22,11,22,13,25,14,23,15
829101372,25330461,-6768,-5408,-23712,-60,94,829101372,-1,-33,0,-27,-1,-29,-1,-30,-1,-27,-1,-26,-2,-26,-2,-25,-5,-27,-6,-26,-9,-27,-6,-22,-8,-22,-8,-23,-11,-26,-12,-27,-8,-23,-12,-26,-11,-27,-9,-25,-9,-27,-5,-22,-4,-21,-5,-22,-3,-25,-3,-25,0,0,0,0,9,-29,13,10,-28,13,10,-25,13,10,-29,13,10,-28,9,-24,9,-24,9,-23,7,-28,7,-29,6,-27,6,-25,5,-25,4,-25,3,-26,2,-30,2,-28
829101457,25330461,-6768,-5408,-23712,-60,94,829101457,-28,-7,-32,-7,-31,-6,-26,-6,-28,-4,-28,-4,-28,-3,-27,-3,-25,-3,-24,-2,-24,1,-26,4,-27,5,-27,5,-24,1,-25,3,-26,6,-25,1,-25,1,-24,-1,-24,0,-26,0,-25,0,-23,0,-19,-3,-21,-2,0,0,0,0,-23,-15,-22,-16,-25,-16,-23,-15,-23,-15,-25,-15,-24,-14,-24,-14,-22,-13,-22,-14,-22,-12,-26,-10,-26,-11,-27,-9,-28,-9,-25,-9,-31,-6,-32,-6,-28,-8
829101563,25330461,-6896,-5456,-23648,-60,94,829101563,-28,1,-30,2,-33,3,-26,2,-29,4,-30,4,-27,4,-27,5,-24,4,-21,4,-23,8,-25,13,10,-24,13,10,-25,12,-20,9,-24,13,10,-24,11,-24,13,10,-24,8,-22,7,-22,6,-24,6,-23,6,-23,6,-19,3,-20,3,0,0,0,0,-25,-8,-25,-9,-26,-8,-26,-7,-26,-7,-28,-7,-28,-7,-27,-7,-24,-5,-26,-5,-22,-5,-30,-3,-29,-3,-28,-3,-29,-1,-25,-1,-32,2
829101664,25330461,-6896,-5456,-23648,-60,94,829101664,28,5,31,2,31,2,26,3,29,0,28,0,28,0,27,-1,25,1,23,-1,24,-4,24,-7,25,-8,26,-8,24,-5,24,-5,26,-8,24,-5,25,-3,24,-1,24,-1,24,-3,23,-3,23,-4,20,0,20,1,0,0,0,0,24,14,23,15,25,12,25,11,23,11,26,13,10,26,9,24,9,22,11,23,13,10,22,13,10,26,7,26,6,27,6,27,6,26,6,31,2,30
829101775,25330461,-6896,-5456,-23648,-60,94,829101775,3,-32,6,-28,7,-30,3,-29,7,-27,4,-27,4,-26,3,-26,-1,-26,-3,-26,-5,-27,0,-24,-2,-25,-3,-26,-7,-26,-7,-28,-3,-25,-7,-27,-6,-28,-5,-25,-5,-26,1,-24,1,-21,2,-23,-2,-22,0,-22,0,0,0,0,13,-27,14,-25,15,-21,14,-26,14,-26,16,-22,15,-21,14,-20,11,-25,12,-25,13,10,-25,12,-25,11,-25,13,10,-24,13,10,-25,6,-28,9,-28,9
829101897,25330461,-6976,-5712,-23536,-60,94,829101897,-20,19,-24,18,-23,18,-18,19,-22,18,-19,18,-18,19,-17,18,-13,19,-13,18,-13,19,-15,19,-14,20,-15,21,-11,21,-11,22,-14,21,-12,21,-11,21,-11,19,-11,20,-15,18,-16,17,-16,15,-14,14,-13,13,0,0,0,0,-23,13,-24,13,-26,9,-24,13,10,-25,13,10,-25,8,-26,8,-24,9,-22,12,-22,12,-20,12,-23,12,-23,14,-23,13,-23,14,-20,17,-25,17,-25,18
829102032,25330461,-6976,-5712,-23536,-60,94,829102032,18,25,20,19,19,20,18,21,20,17,19,17,18,15,19,15,19,17,19,16,21,14,20,13,10,22,13,10,21,13,10,21,13,23,13,23,9,23,15,21,14,21,14,20,15,19,12,18,11,18,12,16,15,15,15,0,0,0,0,8,27,8,28,13,10,24,8,27,9,26,13,10,23,13,10,23,13,10,23,13,10,25,9,25,13,10,24,13,21,14,21,15,20,15
829102162,25330461,-6832,-5488,-23632,-60,94,829102162,2,32,2,28,2,27,3,31,2,25,4,25,4,24,4,23,7,26,8,26,9,25,8,20,8,21,9,21,12,25,11,25,11,23,13,10,25,11,24,9,24,9,25,6,21,6,20,4,20,4,22,3,21,0,0,0,0,-8,30,-8,29,-8,26,-10,29,-10,28,-7,24,-8,24,-7,23,-6,28,-6,27,-5,27,-4,24,-2,25,-2,25,0,26,-1,30,1,27,0,28,1
