local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
207945796109,2178658304,-8192,-16355,-7973,-57,24261,53234123803904,0,0,11,31,8,25,9,27,13,10,27,9,25,11,24,11,25,13,10,23,14,26,15,24,18,24,15,21,17,22,19,23,20,25,22,27,19,22,22,28,20,28,19,28,19,30,15,27,13,25,12,27,12,30,9,30,0,0,0,0,-5,26,-6,27,-5,20,-6,27,-5,25,-5,20,-4,21,-4,21,-3,24,-2,26,-1,24,0,22,1,22,1,22,3,23,4,27,5,24
812288419,8510662,7648,-9280,-14368,-59,94,812288419,-1,-32,0,-28,1,-29,-2,-31,-1,-28,-3,-27,-2,-28,-3,-27,-8,-30,-8,-29,-10,-31,-7,-27,-8,-27,-9,-29,-13,-30,-14,-32,-11,-30,-14,-33,-13,-34,-10,-33,-10,-34,-5,-32,-3,-31,-2,-32,-3,-32,0,-32,0,0,0,0,13,10,-25,12,-24,12,-19,12,-24,12,-24,12,-19,11,-19,11,-19,8,-24,8,-24,6,-25,6,-22,7,-23,5,-23,5,-24,3,-28,4,-25,3,-28,1
812288508,8510662,7648,-9280,-14368,-59,94,812288508,-19,16,-22,16,-22,17,-18,17,-21,18,-21,17,-20,18,-20,18,-16,19,-14,19,-14,21,-16,21,-16,24,-17,24,-13,23,-14,25,-17,25,-16,24,-17,24,-18,22,-19,22,-23,21,-23,20,-23,20,-20,17,-22,15,0,0,0,0,-20,6,-20,6,-23,4,-20,7,-21,7,-24,5,-22,5,-22,5,-19,8,-19,9,-17,9,-22,9,-22,9,-22,9,-23,12,-19,13,-22,14,-23,16,-20,16
812288684,8510919,7648,-9280,-14368,-59,94,812288684,26,6,27,3,28,2,25,4,27,1,26,-1,26,-1,26,-2,26,0,24,-1,26,-3,26,-5,27,-5,29,-8,26,-4,30,-4,29,-8,31,-3,30,-2,29,0,30,0,31,0,29,0,29,3,27,6,26,8,0,0,0,0,17,13,17,13,19,11,17,14,18,13,20,11,20,13,10,20,13,10,17,11,18,11,17,13,10,22,7,22,6,23,5,24,4,22,7,26,4,26
812288761,8510919,7648,-9280,-14368,-59,94,812288761,-10,-31,-10,-26,-11,-28,-12,-30,-11,-26,-11,-25,-12,-24,-12,-23,-16,-28,-15,-26,-19,-26,-17,-22,-19,-23,-19,-24,-21,-26,-24,-27,-20,-24,-22,-29,-20,-29,-18,-30,-19,-31,-15,-29,-13,-27,-12,-28,-11,-31,-9,-32,0,0,0,0,4,-27,3,-28,2,-22,3,-27,3,-27,1,-22,2,-22,2,-22,1,-26,0,-26,0,-26,-2,-23,-2,-23,-3,-23,-5,-24,-5,-27,-7,-25,-9,-26,-8,-31
812288925,8511156,7648,-9280,-14368,-59,94,812288925,-18,-27,-18,-23,-19,-23,-18,-26,-17,-22,-19,-20,-19,-20,-19,-19,-23,-21,-23,-21,-25,-20,-23,-16,-23,-15,-26,-16,-28,-18,-30,-19,-27,-18,-30,-20,-29,-22,-28,-23,-28,-23,-24,-22,-22,-22,-22,-22,-21,-26,-18,-27,0,0,0,0,-3,-27,-3,-28,-3,-23,-3,-28,-3,-27,-3,-22,-3,-22,-4,-22,-6,-26,-6,-26,-7,-25,-9,-22,-10,-21,-10,-21,-12,-22,-13,-26,-14,-22,-16,-23,-16,-29
812289056,8511312,7648,-9280,-14368,-59,94,812289056,-26,-5,-29,-2,-29,-2,-25,-4,-27,-1,-28,0,-27,1,-26,1,-25,1,-25,0,-26,2,-26,5,-27,6,-28,8,-27,6,-28,6,-30,8,-29,5,-29,4,-29,2,-30,2,-31,3,-30,1,-29,-1,-28,-4,-27,-5,0,0,0,0,-16,-13,-17,-14,-20,-14,-17,-15,-16,-14,-20,-13,-19,-13,-19,-12,-18,-11,-18,-11,-17,-11,-22,-9,-22,-8,-24,-7,-25,-6,-22,-8,-27,-5,-27,-5,-24,-7
812289209,8511454,7648,-9280,-14368,-59,94,812289209,-15,24,-17,23,-18,23,-13,23,-17,24,-16,24,-16,24,-15,24,-10,25,-8,25,-8,27,-10,26,-10,27,-10,29,-6,28,-6,30,-11,30,-9,31,-10,31,-11,29,-12,29,-16,28,-17,26,-19,27,-16,24,-18,23,0,0,0,0,-18,14,-19,14,-22,13,10,-20,14,-19,14,-22,11,-21,11,-20,11,-17,15,-18,15,-16,14,-20,15,-20,15,-19,16,-19,17,-15,19,-19,20,-18,22,-14
812289340,8511572,7648,-9280,-14368,-59,94,812289340,24,-7,28,-10,28,-11,24,-9,28,-11,26,-11,26,-13,26,-12,22,-12,22,-12,21,-15,24,-16,24,-18,24,-19,22,-18,22,-19,26,-21,25,-18,25,-18,25,-16,26,-15,29,-15,28,-14,29,-13,26,-9,26,-7,0,0,0,0,20,4,20,3,24,5,21,3,20,4,24,4,24,3,24,3,21,1,21,0,20,0,25,-1,26,-3,25,-3,26,-4,22,-4,27,-6,28,-6,25,-6
812289473,8511712,7648,-9280,-14368,-59,94,812289473,-13,-29,-13,-25,-15,-25,-15,-27,-13,-24,-15,-24,-15,-23,-15,-22,-19,-24,-19,-23,-22,-24,-19,-20,-21,-20,-23,-20,-25,-23,-26,-24,-25,-20,-27,-25,-26,-26,-23,-26,-24,-28,-20,-25,-18,-25,-17,-26,-16,-28,-14,-29,0,0,0,0,2,-27,3,-28,2,-23,1,-28,1,-28,0,-22,0,-22,0,-22,-2,-26,-2,-26,-3,-25,-4,-23,-5,-22,-6,-22,-8,-24,-8,-28,-9,-25,-11,-25,-12,-31
