local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
845642705,41868367,-304,240,160,-59,94,845642705,-26,-17,-29,-14,-29,-13,-24,-15,-26,-11,-26,-10,-26,-9,-24,-8,-23,-10,-21,-9,-22,-7,-23,-2,-23,-2,-23,-1,-21,-4,-22,-3,-24,0,-21,-4,-21,-5,-20,-5,-19,-4,-21,-2,-20,-2,-20,-2,-17,-6,-15,-6,0,0,0,0,-24,-20,-23,-21,-26,-20,-23,-21,-24,-21,-26,-19,-25,-19,-25,-19,-23,-19,-23,-20,-23,-20,-26,-17,-27,-16,-27,-16,-28,-16,-26,-18,-29,-14,-31,-15,-27,-19
845642858,41868509,-304,240,160,-59,94,845642858,2,32,-1,27,-1,28,3,26,-1,25,0,23,1,22,1,22,5,22,7,20,8,20,5,18,5,17,6,18,13,10,18,12,20,7,17,12,18,11,18,13,10,19,13,10,17,4,16,5,14,4,15,7,17,6,17,0,0,0,0,-2,30,-4,31,-5,27,-3,30,-3,30,-5,28,-6,28,-6,27,-3,29,-3,29,-2,27,-3,26,-3,27,-3,28,-2,29,0,29,-1,28,0
845643051,41868650,-368,416,144,-59,94,845643051,-1,-31,2,-28,2,-27,-2,-28,0,-25,1,-25,-1,-24,0,-22,-5,-24,-6,-22,-8,-22,-4,-19,-6,-19,-6,-20,-9,-20,-10,-21,-7,-18,-11,-21,-10,-20,-9,-19,-10,-19,-5,-17,-5,-16,-4,-16,-8,-18,-5,-18,0,0,0,0,5,-30,7,-30,7,-27,6,-31,7,-31,6,-27,8,-26,7,-26,5,-30,5,-30,4,-29,5,-27,5,-27,5,-27,3,-29,0,-32,3,-30,1,-29,-1,-33
845643183,41868806,-368,416,144,-59,94,845643183,-27,-2,-31,1,-30,0,-25,-1,-27,1,-26,2,-25,1,-24,3,-21,2,-19,2,-19,4,-21,6,-21,7,-21,8,-17,6,-17,6,-20,8,-17,5,-17,5,-16,5,-16,5,-19,5,-19,6,-18,5,-15,3,-14,2,0,0,0,0,-28,-4,-28,-4,-29,-5,-28,-4,-28,-4,-30,-5,-30,-5,-28,-5,-27,-4,-27,-5,-26,-5,-29,-2,-30,-1,-30,-1,-31,0,-28,-2,-32,1,-33,1,-29,-1
845643369,41868948,-368,416,144,-59,94,845643369,-28,-9,-29,-5,-30,-5,-24,-8,-26,-4,-25,-3,-25,-2,-23,-1,-22,-3,-20,-3,-21,-1,-21,2,-21,3,-22,5,-19,1,-19,2,-20,6,-19,2,-18,1,-18,1,-18,1,-20,4,-18,3,-19,2,-15,-1,-16,-3,0,0,0,0,-26,-11,-26,-12,-27,-11,-26,-14,-26,-13,-27,-13,-27,-13,-27,-12,-25,-12,-26,-12,-24,-12,-28,-9,-28,-8,-29,-6,-29,-7,-27,-10,-31,-6,-31,-6,-28,-11
845643472,41868948,-368,416,144,-59,94,845643472,26,17,25,11,26,11,23,13,24,9,23,8,22,7,21,5,22,8,20,8,21,6,19,1,20,0,21,-1,19,3,21,3,20,-2,21,3,20,3,19,3,18,4,19,0,17,1,17,2,15,5,15,5,0,0,0,0,23,18,23,18,23,18,22,20,22,19,24,17,22,17,23,17,22,18,23,18,21,18,25,14,24,13,24,14,26,13,25,17,27,12,29,13,27,18
845643711,41869206,-224,368,112,-59,94,845643711,19,-18,24,-19,20,-18,18,-19,20,-17,18,-18,18,-18,16,-17,11,-16,11,-18,9,-18,13,-17,12,-18,9,-19,6,-19,5,-18,9,-20,5,-18,5,-19,5,-18,4,-17,13,10,-17,13,10,-16,13,10,-15,8,-14,7,-13,0,0,0,0,22,-16,24,-15,27,-12,24,-14,25,-12,28,-10,27,-11,23,-12,24,-16,20,-14,23,-16,24,-15,25,-17,23,-18,24,-19,22,-17,26,-18,25
845643782,41869206,-224,368,112,-59,94,845643782,-29,-10,-30,-6,-30,-6,-26,-8,-27,-5,-26,-4,-25,-3,-24,-2,-22,-4,-22,-4,-22,-2,-22,3,-22,3,-22,4,-20,1,-21,1,-21,6,-21,2,-19,1,-19,1,-18,1,-19,3,-19,3,-20,2,-17,-1,-16,-2,0,0,0,0,-26,-14,-26,-15,-28,-14,-27,-15,-26,-15,-28,-13,-27,-13,-27,-13,-25,-14,-26,-13,-24,-13,-29,-10,-29,-10,-28,-9,-30,-8,-27,-11,-31,-8,-33,-7,-29,-11
845644028,41869480,-176,416,128,-59,94,845644028,-29,-3,-30,-1,-31,-1,-23,-2,-27,1,-27,0,-26,0,-25,2,-21,0,-19,2,-19,4,-22,6,-22,7,-22,8,-16,5,-18,7,-20,9,-18,6,-18,5,-16,4,-17,4,-20,6,-18,5,-18,6,-15,4,-15,3,0,0,0,0,-27,-8,-28,-8,-29,-7,-28,-6,-29,-6,-30,-6,-29,-6,-30,-7,-26,-6,-28,-7,-25,-6,-31,-5,-30,-4,-30,-5,-31,-4,-27,-4,-32,0,-33,1,-30,-3
845644148,41869480,-176,416,128,-59,94,845644148,-9,29,-11,25,-11,25,-6,26,-10,23,-9,22,-8,22,-8,20,-2,23,-1,21,1,21,-3,18,-2,19,-1,20,3,20,3,21,0,19,4,20,3,20,3,20,2,20,-2,17,-2,16,-2,15,1,17,-1,16,0,0,0,0,-14,26,-15,27,-15,24,-14,26,-14,27,-16,23,-16,23,-15,23,-12,26,-13,25,-12,25,-15,24,-14,25,-14,25,-12,26,-10,28,-12,27,-12,28,-10,30
