local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
823823072,20050341,-1744,5456,-28464,-61,94,823823072,28,-7,31,-9,33,-9,26,-7,30,-9,28,-10,27,-9,26,-10,23,-8,21,-10,22,-11,23,-13,22,-13,24,-15,20,-10,21,-13,23,-13,22,-11,21,-10,21,-9,21,-8,24,-8,23,-8,22,-6,18,-4,19,-2,0,0,0,0,24,-2,24,-2,26,-2,25,-2,25,-3,28,-2,27,-2,27,-3,25,-3,24,-4,24,-3,28,-6,28,-7,28,-6,31,-8,26,-7,32,-10,33,-11,29,-8
823823183,20050341,-1632,5376,-28496,-61,94,823823183,-29,-7,-33,-5,-32,-6,-28,-7,-30,-4,-30,-4,-28,-3,-29,-3,-25,-3,-24,-3,-25,-2,-25,-1,-26,0,-26,1,-24,0,-24,-1,-28,0,-26,-1,-25,-2,-23,-4,-23,-4,-25,-2,-23,-4,-23,-6,-19,-8,-18,-9,0,0,0,0,-23,-10,-24,-10,-26,-11,-23,-12,-24,-12,-26,-10,-25,-11,-25,-10,-24,-8,-24,-10,-24,-9,-29,-8,-30,-6,-30,-6,-31,-5,-28,-8,-33,-5,-33,-6,-30,-8
823823380,20050514,-1632,5376,-28496,-61,94,823823380,-22,19,-24,18,-25,18,-20,17,-24,17,-22,16,-21,17,-20,17,-16,16,-15,17,-15,18,-16,18,-16,19,-16,20,-12,18,-14,20,-15,19,-14,18,-14,17,-15,16,-15,16,-18,15,-17,13,-17,13,-15,12,-16,11,0,0,0,0,-22,8,-21,11,-25,9,-21,11,-22,11,-24,9,-23,13,10,-24,13,10,-21,13,-21,13,-20,12,-24,13,-23,14,-22,15,-23,16,-21,16,-25,18,-25,19
823823589,20050708,-1712,5328,-28432,-61,94,823823589,-29,5,-32,7,-33,6,-25,4,-30,6,-28,7,-28,7,-26,6,-24,6,-22,6,-22,8,-24,13,10,-24,11,-25,12,-21,9,-22,13,10,-23,11,-23,9,-23,8,-22,6,-20,5,-23,6,-22,5,-22,4,-19,2,-19,1,0,0,0,0,-24,-1,-24,-1,-27,-1,-25,0,-26,0,-28,0,-27,-1,-28,0,-25,2,-25,1,-24,2,-29,3,-28,4,-29,4,-30,6,-27,4,-32,7,-33,8
823823795,20051130,-1712,5328,-28432,-60,94,823823795,-14,-31,-13,-28,-14,-26,-13,-30,-11,-25,-14,-24,-13,-23,-13,-22,-15,-25,-14,-24,-15,-23,-14,-19,-15,-19,-16,-19,-17,-22,-18,-21,-18,-19,-17,-22,-16,-23,-15,-22,-14,-23,-13,-20,-11,-20,-9,-20,-8,-22,-7,-21,0,0,0,0,-5,-28,-5,-28,-5,-26,-5,-29,-5,-28,-5,-25,-5,-25,-6,-23,-8,-29,-7,-27,-9,-29,-10,-24,-11,-25,-11,-24,-12,-26,-12,-31,-13,-27,-13,-28,-13,-33
823823898,20051130,-1712,5328,-28432,-61,94,823823898,6,32,5,28,5,28,6,32,4,26,5,26,5,24,6,23,8,25,9,25,11,25,8,21,9,21,13,10,21,11,24,11,24,13,10,22,11,25,13,10,25,8,24,7,24,5,21,5,20,4,20,4,22,2,21,0,0,0,0,-1,28,-2,27,-2,24,-2,28,-1,28,0,24,-2,24,-1,23,1,28,1,29,1,28,1,25,2,26,3,25,4,27,5,31,5,29,5
823824052,20051400,-1712,5328,-28432,-61,94,823824052,18,-22,24,-21,22,-22,18,-22,21,-18,20,-21,19,-20,18,-20,14,-19,13,-19,11,-20,14,-19,14,-21,12,-21,11,-21,11,-19,13,-23,11,-19,11,-20,13,-16,14,-18,16,-17,16,-17,15,-17,15,-14,13,-12,0,0,0,0,20,-14,19,-12,23,-14,20,-14,20,-14,23,-12,22,-13,20,-14,19,-16,17,-15,19,-17,20,-16,22,-17,21,-19,21,-20,20,-21,21,-22,23,-24,19,-21
823824140,20051400,-1712,5328,-28432,-61,94,823824140,-24,-21,-24,-17,-25,-19,-21,-19,-24,-16,-22,-16,-23,-15,-22,-14,-21,-16,-19,-15,-21,-14,-22,-10,-23,-10,-24,-10,-21,-11,-24,-13,-23,-10,-23,-14,-22,-14,-21,-15,-20,-15,-20,-12,-17,-12,-17,-13,-16,-16,-14,-17,0,0,0,0,-14,-22,-15,-21,-16,-19,-15,-22,-16,-22,-17,-19,-18,-19,-17,-20,-17,-20,-18,-21,-16,-20,-21,-18,-21,-17,-22,-17,-23,-18,-21,-19,-25,-17,-26,-18,-24,-22
823824354,20051620,-1728,5264,-28528,-61,94,823824354,-27,14,-32,14,-30,13,-26,13,-28,13,-27,13,-27,12,-26,13,-22,13,-20,13,-20,15,-22,15,-21,15,-21,16,-17,15,-18,16,-22,16,-19,15,-19,13,-19,13,-20,12,-23,11,-22,9,-22,13,10,-19,8,-18,6,0,0,0,0,-24,7,-25,7,-27,5,-25,7,-25,7,-28,6,-27,6,-26,6,-25,9,-25,13,10,-24,9,-28,13,10,-28,11,-28,13,10,-29,12,-26,13,-30,14
823824675,20051871,-1872,5344,-28416,-60,94,823824675,27,9,31,6,31,7,25,7,30,6,28,4,27,4,26,3,23,4,23,3,23,2,24,0,25,-1,26,-2,23,0,24,0,26,-2,24,1,23,2,23,3,22,3,23,3,22,3,22,4,18,7,17,8,0,0,0,0,20,11,21,11,23,12,21,12,21,11,24,12,24,11,24,13,10,22,9,23,13,10,22,13,10,27,8,27,7,27,7,29,6,25,9,31,8,32
